cenario,tipo_choque,multiplicador_produtividade,perda_produtividade,choque_permanente,periodo,variavel,unidade,numero_simulacoes,media,mediana,desvio_padrao,p5,p25,p75,p95,erro_padrao,media_ic95_inferior,media_ic95_superior,media_diferente_zero_95
choque_05pct_permanente,permanente,0.95,0.05,True,6,deficit_externo,p.p. do PIB em relação ao benchmark,100,-0.005230218473742376,-0.006109465672539401,0.005763517241895168,-0.01210106168449549,-0.010000478052950599,-0.00208156114306105,0.005814150862617284,0.0005763517241895169,-0.006359867853153829,-0.004100569094330923,True
choque_05pct_permanente,permanente,0.95,0.05,True,6,deficit_governo,p.p. do PIB em relação ao benchmark,100,0.06430554543838583,0.0683499067327807,0.01713918428714359,0.0351043595208703,0.05614761060315562,0.07577254909911751,0.08574191675556515,0.0017139184287143588,0.06094626531810569,0.06766482555866597,True
choque_05pct_permanente,permanente,0.95,0.05,True,6,inflacao,p.p. em relação ao benchmark,100,0.1575177021980722,0.15057848394286472,0.022484641105007964,0.1380669191292594,0.14500675393526175,0.1573696243551803,0.20408001746586513,0.0022484641105007964,0.15311071254149064,0.16192469185465377,True
choque_05pct_permanente,permanente,0.95,0.05,True,6,pib_real,% em relação ao benchmark,100,-0.23448804857774172,-0.22291988370387034,0.033035652482824994,-0.300255663422812,-0.2406373183322985,-0.2140838676396417,-0.20259319710899448,0.0033035652482824992,-0.24096303646437542,-0.22801306069110802,True
choque_05pct_permanente,permanente,0.95,0.05,True,6,taxa_desemprego,p.p. em relação ao benchmark,100,0.0198688233107081,0.02028514534389705,0.00976354705254792,0.0021866443842338606,0.0132440658349976,0.028066425290732624,0.03320941145380727,0.000976354705254792,0.017955168088408708,0.02178247853300749,True
choque_05pct_permanente,permanente,0.95,0.05,True,7,deficit_externo,p.p. do PIB em relação ao benchmark,100,-0.009333610238642667,-0.010669747597131251,0.011436738233918733,-0.024013688841978787,-0.018567406995157326,-0.002392687048516775,0.01105095743095527,0.0011436738233918733,-0.01157521093249074,-0.0070920095447945955,True
choque_05pct_permanente,permanente,0.95,0.05,True,7,deficit_governo,p.p. do PIB em relação ao benchmark,100,0.10879285584322805,0.11132280623046276,0.02501916591120958,0.06419638005935802,0.09751349254958867,0.12738944280611497,0.14042317684248642,0.002501916591120958,0.10388909932463097,0.11369661236182513,True
choque_05pct_permanente,permanente,0.95,0.05,True,7,inflacao,p.p. em relação ao benchmark,100,0.24754479100637614,0.24417474114942772,0.01867949930090422,0.2230387232857267,0.23430393052095153,0.2585509294399213,0.27894919132989693,0.001867949930090422,0.2438836091433989,0.25120597286935337,True
choque_05pct_permanente,permanente,0.95,0.05,True,7,pib_real,% em relação ao benchmark,100,-0.37586983279318614,-0.3730650373892086,0.016516789418445768,-0.40667992088932453,-0.38582813129248156,-0.36621232104223633,-0.35240665297786633,0.001651678941844577,-0.3791071235192015,-0.3726325420671708,True
choque_05pct_permanente,permanente,0.95,0.05,True,7,taxa_desemprego,p.p. em relação ao benchmark,100,0.044252679404194535,0.04666042773470985,0.01969360208452144,0.00788487043261987,0.03421799606002737,0.06099895123053105,0.06821611761568416,0.001969360208452144,0.040392733395628336,0.048112625412760734,True
choque_05pct_permanente,permanente,0.95,0.05,True,8,deficit_externo,p.p. do PIB em relação ao benchmark,100,-0.05611291545227308,-0.0571107257463091,0.006258602086279789,-0.06378542174449894,-0.060576580909374074,-0.05350808043589915,-0.04325863594423572,0.0006258602086279789,-0.05733960146118392,-0.05488622944336224,True
choque_05pct_permanente,permanente,0.95,0.05,True,8,deficit_governo,p.p. do PIB em relação ao benchmark,100,0.1974483182966473,0.201985795974495,0.019744973599691712,0.1595986907768888,0.18362675505498685,0.21082816710140806,0.2242760863407162,0.001974497359969171,0.19357830347110772,0.2013183331221869,True
choque_05pct_permanente,permanente,0.95,0.05,True,8,inflacao,p.p. em relação ao benchmark,100,0.26401692030137086,0.26264743581055905,0.011446024732364639,0.24785437304857713,0.2561266812581619,0.27244420545552983,0.284260450220064,0.001144602473236464,0.2617734994538274,0.26626034114891434,True
choque_05pct_permanente,permanente,0.95,0.05,True,8,pib_real,% em relação ao benchmark,100,-0.5757308125790512,-0.5758989305269302,0.03515559055787676,-0.63018902746388,-0.6023909833632962,-0.5552887150202523,-0.5116866949730592,0.003515559055787676,-0.5826213083283951,-0.5688403168297074,True
choque_05pct_permanente,permanente,0.95,0.05,True,8,taxa_desemprego,p.p. em relação ao benchmark,100,0.07946274782341703,0.08300529570830281,0.023298472306499136,0.03799136478746671,0.06834563641601865,0.09825607833616362,0.10687364319420074,0.0023298472306499136,0.0748962472513432,0.08402924839549086,True
choque_05pct_permanente,permanente,0.95,0.05,True,9,deficit_externo,p.p. do PIB em relação ao benchmark,100,-0.08531470130831365,-0.0865841073202772,0.009670493042648142,-0.09894806421960033,-0.09170935894354237,-0.07898262170574742,-0.07026840001949985,0.0009670493042648143,-0.08721011794467268,-0.08341928467195461,True
choque_05pct_permanente,permanente,0.95,0.05,True,9,deficit_governo,p.p. do PIB em relação ao benchmark,100,0.2515844236298881,0.254060887787802,0.020523820366919493,0.21802831311266016,0.23990748359514616,0.26507467637292625,0.2823521784960113,0.002052382036691949,0.24756175483797188,0.2556070924218043,True
choque_05pct_permanente,permanente,0.95,0.05,True,9,inflacao,p.p. em relação ao benchmark,100,0.30242599514860435,0.3022121816362189,0.017648234764495282,0.27541019584017223,0.28822845057465685,0.3162075751500459,0.331221454325209,0.0017648234764495283,0.2989669411347633,0.3058850491624454,True
choque_05pct_permanente,permanente,0.95,0.05,True,9,pib_real,% em relação ao benchmark,100,-0.812645717286142,-0.8170980063653632,0.04542418683036337,-0.8845022169195144,-0.8437938944370976,-0.7868456306182797,-0.7346720435888932,0.004542418683036337,-0.8215488579048932,-0.8037425766673908,True
choque_05pct_permanente,permanente,0.95,0.05,True,9,taxa_desemprego,p.p. em relação ao benchmark,100,0.11500018914370459,0.1163532377887806,0.019520057183369164,0.07991338014174056,0.10555849106807508,0.1302339335273225,0.14190594693512631,0.0019520057183369164,0.11117425793576424,0.11882612035164494,True
choque_05pct_permanente,permanente,0.95,0.05,True,10,deficit_externo,p.p. do PIB em relação ao benchmark,100,-0.14004914925861095,-0.1393286144114459,0.00932039133710125,-0.1552555102752178,-0.14543167641709104,-0.13338405929460567,-0.1259455536776695,0.0009320391337101251,-0.1418759459606828,-0.1382223525565391,True
choque_05pct_permanente,permanente,0.95,0.05,True,10,deficit_governo,p.p. do PIB em relação ao benchmark,100,0.32448295356386,0.3237061831921808,0.02023422900302738,0.29237912697995044,0.3104223364626762,0.33831309065156734,0.35507499349144184,0.002023422900302738,0.3205170446792666,0.32844886244845334,True
choque_05pct_permanente,permanente,0.95,0.05,True,10,inflacao,p.p. em relação ao benchmark,100,0.29136300360360584,0.29041654948975815,0.01578017855347783,0.2673072446716185,0.28318904048669763,0.3017733860975813,0.31576875754336425,0.0015780178553477828,0.28827008860712416,0.2944559186000875,True
choque_05pct_permanente,permanente,0.95,0.05,True,10,pib_real,% em relação ao benchmark,100,-1.0638170133597127,-1.0605205433464493,0.04597515961842078,-1.1399065325504565,-1.0940870301447803,-1.030614352172754,-0.9920735431779114,0.004597515961842078,-1.0728281446449233,-1.054805882074502,True
choque_05pct_permanente,permanente,0.95,0.05,True,10,taxa_desemprego,p.p. em relação ao benchmark,100,0.16006761281015,0.16074175019333276,0.013051686864498577,0.1415142636441417,0.15115822236964543,0.17094800490144163,0.180414107577673,0.0013051686864498577,0.15750948218470828,0.16262574343559172,True
choque_05pct_permanente,permanente,0.95,0.05,True,11,deficit_externo,p.p. do PIB em relação ao benchmark,100,-0.18160343936054918,-0.17991922458066506,0.010294625475576347,-0.19960215603959114,-0.18838217592580986,-0.174476136968516,-0.16740127225963328,0.0010294625475576347,-0.18362118595376214,-0.1795856927673362,True
choque_05pct_permanente,permanente,0.95,0.05,True,11,deficit_governo,p.p. do PIB em relação ao benchmark,100,0.3657469595572219,0.36656929767936297,0.020586300844773097,0.33325023426698835,0.3498439691152065,0.3791605421425967,0.39631285536273136,0.00205863008447731,0.3617120445916464,0.3697818745227974,True
choque_05pct_permanente,permanente,0.95,0.05,True,11,inflacao,p.p. em relação ao benchmark,100,0.28289771006565867,0.2831856603309979,0.020503711110373624,0.2539398053677066,0.268909579906118,0.29535298884275085,0.315824929986016,0.0020503711110373625,0.2788789826880254,0.2869164374432919,True
