tipo_choque,variavel,unidade,horizonte,periodo,numero_intensidades,inclinacao_por_1pp_perda,intercepto,r2_linear,inclinacao_pela_origem_por_1pp_perda
permanente,deficit_externo,p.p. do PIB em relação ao benchmark,impacto,5,3,-0.0012165439572965771,0.007730545670626718,0.987090688903182,-0.0007011742459214626
permanente,deficit_governo,p.p. do PIB em relação ao benchmark,impacto,5,3,0.009759886366618613,-0.04636957680841685,0.9922247562692357,0.006668581246057493
permanente,inflacao,p.p. em relação ao benchmark,impacto,5,3,0.014708806773656621,0.0604448607446448,0.9996542977496192,0.018738464156632946
permanente,pib_real,% em relação ao benchmark,impacto,5,3,-0.02227766178007254,-0.024532185198656412,0.9847058515160905,-0.02391314079331631
permanente,taxa_desemprego,p.p. em relação ao benchmark,impacto,5,3,0.014295637787874028,-0.09083727818855301,0.9162336653124042,0.008239819241970496
permanente,deficit_externo,p.p. do PIB em relação ao benchmark,+1,6,3,-0.005315148662174676,0.027581985295508697,0.9603365728196906,-0.003476349642474096
permanente,deficit_governo,p.p. do PIB em relação ao benchmark,+1,6,3,0.022534955933567222,-0.0632016685326525,0.9871700586887202,0.01832151136472373
permanente,inflacao,p.p. em relação ao benchmark,+1,6,3,0.019815092472221917,0.07275745171453986,0.9845838014546868,0.02466558925319125
permanente,pib_real,% em relação ao benchmark,+1,6,3,-0.049225927410461265,0.03122750372602328,0.995273240450363,-0.04714409382872637
permanente,taxa_desemprego,p.p. em relação ao benchmark,+1,6,3,0.018259826439215695,-0.09521874995562794,0.9515502376686437,0.011911909775507165
permanente,deficit_externo,p.p. do PIB em relação ao benchmark,+5,10,3,-0.023787435600107185,-0.014781712713557186,0.9978799446761966,-0.02477288311434434
permanente,deficit_governo,p.p. do PIB em relação ao benchmark,+5,10,3,0.0377456848835076,0.14432451525786197,0.9984558988080637,0.04736731923403175
permanente,inflacao,p.p. em relação ao benchmark,+5,10,3,0.032388564275262835,0.15318576472866557,0.9841044347341987,0.04260094859050721
permanente,pib_real,% em relação ao benchmark,+5,10,3,-0.18598384287334124,-0.11662088145555069,0.9997411841170266,-0.1937585683037114
permanente,taxa_desemprego,p.p. em relação ao benchmark,+5,10,3,0.04597805496019185,-0.1092467268422757,0.9784191857927058,0.03869493983737347
permanente,deficit_externo,p.p. do PIB em relação ao benchmark,+10,15,3,-0.06771381574136127,0.04547175274964232,0.9879709435907428,-0.0646823655580518
permanente,deficit_governo,p.p. do PIB em relação ao benchmark,+10,15,3,0.06311958330217982,0.0030965798794023334,0.9826521606902376,0.06332602196080664
permanente,inflacao,p.p. em relação ao benchmark,+10,15,3,-0.009585144066729435,0.15923829708256812,0.7602642386013703,0.001030742405441773
permanente,pib_real,% em relação ao benchmark,+10,15,3,-0.38345996361149176,0.3358822469637964,0.9896058075435832,-0.36106781381390535
permanente,taxa_desemprego,p.p. em relação ao benchmark,+10,15,3,0.1119499306395847,-0.607840674145183,0.9383748374414363,0.07142721902990584
permanente,deficit_externo,p.p. do PIB em relação ao benchmark,final,25,3,-0.01524626264589701,-0.21415169726403266,0.8733998029429306,-0.029523042463499197
permanente,deficit_governo,p.p. do PIB em relação ao benchmark,final,25,3,0.0018806331473516355,0.7768612329154432,0.01651476789301276,0.05367138200838121
permanente,inflacao,p.p. em relação ao benchmark,final,25,3,0.2171278086130507,1.0747086495304994,0.9908720557894211,0.28877505191508407
permanente,pib_real,% em relação ao benchmark,final,25,3,-0.37309135572800034,-1.5763172487996149,0.9973593539376707,-0.4781791723146415
permanente,taxa_desemprego,p.p. em relação ao benchmark,final,25,3,0.07328520128015571,-0.36742102705631274,0.9545539539688753,0.04879046614306822
temporario,deficit_externo,p.p. do PIB em relação ao benchmark,impacto,5,3,-0.0012165439572965771,0.007730545670626718,0.987090688903182,-0.0007011742459214626
temporario,deficit_governo,p.p. do PIB em relação ao benchmark,impacto,5,3,0.009759886366618613,-0.04636957680841685,0.9922247562692357,0.006668581246057493
temporario,inflacao,p.p. em relação ao benchmark,impacto,5,3,0.014708806773656621,0.0604448607446448,0.9996542977496192,0.018738464156632946
temporario,pib_real,% em relação ao benchmark,impacto,5,3,-0.02227766178007254,-0.024532185198656412,0.9847058515160905,-0.02391314079331631
temporario,taxa_desemprego,p.p. em relação ao benchmark,impacto,5,3,0.014295637787874028,-0.09083727818855301,0.9162336653124042,0.008239819241970496
temporario,deficit_externo,p.p. do PIB em relação ao benchmark,+1,6,3,-0.0049350838938989035,0.026184365344048815,0.9630303665587506,-0.003189459537628983
temporario,deficit_governo,p.p. do PIB em relação ao benchmark,+1,6,3,0.017860685823418185,-0.05378235401785102,0.9889549530521036,0.014275195555561455
temporario,inflacao,p.p. em relação ao benchmark,+1,6,3,-0.005122339697730686,0.0892171346788597,0.72188092439056,0.0008254692808599606
temporario,pib_real,% em relação ao benchmark,+1,6,3,-0.014942522765315816,-0.03855504204786239,0.9997912434293205,-0.01751285890183998
temporario,taxa_desemprego,p.p. em relação ao benchmark,+1,6,3,0.0013577061293001838,0.014367953586427755,0.5469986627288921,0.0023155697017287016
temporario,deficit_externo,p.p. do PIB em relação ao benchmark,+5,10,3,-0.009728007911009598,-0.007947370275961369,0.9983616447941928,-0.010257832596073694
temporario,deficit_governo,p.p. do PIB em relação ao benchmark,+5,10,3,0.012512100228185745,0.0007309860684568177,0.9999322223360873,0.012560832632749538
temporario,inflacao,p.p. em relação ao benchmark,+5,10,3,-0.0045067076967009725,-0.009494574582090161,0.9926837198145098,-0.0051396793355069845
temporario,pib_real,% em relação ao benchmark,+5,10,3,-0.04412507736865883,-0.0102399068930038,0.998037095433752,-0.04480773782819243
temporario,taxa_desemprego,p.p. em relação ao benchmark,+5,10,3,0.008059061796268484,-0.017797050770285656,0.9984236565760038,0.006872591744916109
temporario,deficit_externo,p.p. do PIB em relação ao benchmark,+10,15,3,-0.001303398465982001,-0.005909715368526318,0.9972472046204717,-0.0016973794905504227
temporario,deficit_governo,p.p. do PIB em relação ao benchmark,+10,15,3,-0.003259417841338135,-0.00438022494292724,0.9650904853601078,-0.003551432837533285
