cenario,tipo_choque,multiplicador_produtividade,perda_produtividade,choque_permanente,variavel,unidade,perda_percentual,periodo_pico_absoluto,irf_pico_absoluto,periodo_minimo,irf_minima,periodo_maximo,irf_maxima,soma_irf_pos_choque,media_irf_pos_choque,periodos_significativos_95,primeiro_periodo_significativo_95,ultimo_periodo_significativo_95,irf_impacto,irf_+1,irf_+5,irf_+10,irf_final
choque_05pct_permanente,permanente,0.95,0.05,True,deficit_externo,p.p. do PIB em relação ao benchmark,5.0,18,-0.5752871813229169,18,-0.5752871813229169,23,0.02503979883891448,-4.563082453382817,-0.21728964063727702,21,5,25,0.000844595396539133,-0.005230218473742376,-0.14004914925861095,-0.33623536058705783,-0.3238960189195834
choque_05pct_permanente,permanente,0.95,0.05,True,deficit_governo,p.p. do PIB em relação ao benchmark,5.0,25,0.7024746006275574,21,-0.12983635745107172,25,0.7024746006275574,4.963173416648974,0.23634159126899879,21,5,25,0.007417966038865322,0.06430554543838583,0.32448295356386,0.367114663547868,0.7024746006275574
choque_05pct_permanente,permanente,0.95,0.05,True,inflacao,p.p. em relação ao benchmark,5.0,24,2.143291692541026,18,-0.281306277151357,24,2.143291692541026,10.744819775180137,0.5116580845323875,21,5,25,0.1355681159384396,0.1575177021980722,0.29136300360360584,0.08023678893213777,2.040029161837378
choque_05pct_permanente,permanente,0.95,0.05,True,pib_real,% em relação ao benchmark,5.0,25,-3.5526107880339515,25,-3.5526107880339515,5,-0.15194993485135475,-33.182554191750384,-1.5801216281785897,21,5,25,-0.15194993485135475,-0.23448804857774172,-1.0638170133597127,-1.808311909172336,-3.5526107880339515
choque_05pct_permanente,permanente,0.95,0.05,True,taxa_desemprego,p.p. em relação ao benchmark,5.0,22,-0.6092381257497839,22,-0.6092381257497839,12,0.19913473214288385,-1.191310109918491,-0.05672905285326148,21,5,25,0.005596885771572267,0.0198688233107081,0.16006761281015,0.11754472335946202,0.09132661052353966
choque_05pct_temporario,temporario,0.95,0.05,False,deficit_externo,p.p. do PIB em relação ao benchmark,5.0,10,-0.054312189936535506,10,-0.054312189936535506,5,0.000844595396539133,-0.5079395745461707,-0.02418759878791289,20,5,25,0.000844595396539133,-0.0040736539028253145,-0.054312189936535506,-0.012822076257303361,-0.016669598502046204
choque_05pct_temporario,temporario,0.95,0.05,False,deficit_governo,p.p. do PIB em relação ao benchmark,5.0,8,0.07396495890330633,15,-0.01709826799141396,8,0.07396495890330633,0.5194114415343336,0.0247338781683016,19,5,24,0.007417966038865322,0.04641872952483595,0.0626967465863067,-0.01709826799141396,0.0012720074518649807
choque_05pct_temporario,temporario,0.95,0.05,False,inflacao,p.p. em relação ao benchmark,5.0,5,0.1355681159384396,12,-0.05116282300552784,5,0.1355681159384396,0.3538910592349396,0.016851955201663788,16,5,23,0.1355681159384396,0.04524891607555111,-0.029794342940963232,-0.000940994221209083,0.0008758223573539386
choque_05pct_temporario,temporario,0.95,0.05,False,pib_real,% em relação ao benchmark,5.0,10,-0.2195673058858568,10,-0.2195673058858568,15,-0.0655629934375291,-2.721857222445758,-0.12961224868789323,21,5,25,-0.15194993485135475,-0.11451426043511398,-0.2195673058858568,-0.0655629934375291,-0.06679584559281912
choque_05pct_temporario,temporario,0.95,0.05,False,taxa_desemprego,p.p. em relação ao benchmark,5.0,15,-0.04750228534745546,15,-0.04750228534745546,10,0.024347066361007353,-0.05990155614583967,-0.002852455054563794,17,5,25,0.005596885771572267,0.014022999091356698,0.024347066361007353,-0.04750228534745546,-0.02154222662764094
choque_10pct_permanente,permanente,0.9,0.0999999999999999,True,deficit_externo,p.p. do PIB em relação ao benchmark,9.99999999999999,18,-1.010649974829237,18,-1.010649974829237,23,0.20440760402906796,-7.115243147582951,-0.3388211022658548,21,5,25,-0.0032300481709320174,-0.01621481063867158,-0.2431606808978524,-0.5669593527191301,-0.31634481108390405
choque_10pct_permanente,permanente,0.9,0.0999999999999999,True,deficit_governo,p.p. do PIB em relação ao benchmark,9.99999999999999,25,0.921352261425925,21,-0.4408556559930858,25,0.921352261425925,6.273269674886125,0.29872712737552976,21,5,25,0.04374712033648576,0.1398992393482167,0.5346363432602482,0.5616621621648507,0.921352261425925
choque_10pct_permanente,permanente,0.9,0.0999999999999999,True,inflacao,p.p. em relação ao benchmark,9.99999999999999,24,3.4891550314175546,18,-0.8242465387444827,24,3.4891550314175546,15.418543026573698,0.7342163345987475,21,5,25,0.20516409649294348,0.2923811942531249,0.5127197812333546,0.11000053814044827,3.426464531798567
choque_10pct_permanente,permanente,0.9,0.0999999999999999,True,pib_real,% em relação ao benchmark,9.99999999999999,25,-5.140975665188119,25,-5.140975665188119,5,-0.22326464187087844,-53.30473133929665,-2.538320539966507,21,5,25,-0.22326464187087844,-0.4316528975014012,-1.9505439338827828,-3.1583758820331123,-5.140975665188119
choque_10pct_permanente,permanente,0.9,0.0999999999999999,True,taxa_desemprego,p.p. em relação ao benchmark,9.99999999999999,22,-1.0409157343670947,22,-1.0409157343670947,12,0.3452782396906791,-1.4660003014448753,-0.06980953816404167,21,5,25,0.01468513715905473,0.05169685283114288,0.29139772548244314,0.26320501579058253,0.22694853897663467
choque_10pct_temporario,temporario,0.9,0.0999999999999999,False,deficit_externo,p.p. do PIB em relação ao benchmark,9.99999999999999,10,-0.10864027922776823,10,-0.10864027922776823,5,-0.0032300481709320174,-1.0861646789035297,-0.05172212756683475,21,5,25,-0.0032300481709320174,-0.014792573928870852,-0.10864027922776823,-0.01835064719004578,-0.028207426576054052
choque_10pct_temporario,temporario,0.9,0.0999999999999999,False,deficit_governo,p.p. do PIB em relação ao benchmark,9.99999999999999,8,0.16262333120578762,14,-0.04403852346799917,8,0.16262333120578762,1.1305457685550577,0.05383551278833608,20,5,25,0.04374712033648576,0.10847802257793697,0.12674409928493266,-0.04234297259361452,-0.0158953505387864
choque_10pct_temporario,temporario,0.9,0.0999999999999999,False,inflacao,p.p. em relação ao benchmark,9.99999999999999,5,0.20516409649294348,12,-0.09586708269197226,5,0.20516409649294348,0.6428237070780407,0.030610652718001938,19,5,24,0.20516409649294348,0.06552851787353538,-0.057912306736047595,0.032201273053211715,0.0022995355718793396
choque_10pct_temporario,temporario,0.9,0.0999999999999999,False,pib_real,% em relação ao benchmark,9.99999999999999,10,-0.4684376623552541,10,-0.4684376623552541,14,-0.11062700520024045,-5.640573812975336,-0.2685987529988255,21,5,25,-0.22326464187087844,-0.18611036286001187,-0.4684376623552541,-0.13861162790091147,-0.11785846511785233
choque_10pct_temporario,temporario,0.9,0.0999999999999999,False,taxa_desemprego,p.p. em relação ao benchmark,9.99999999999999,14,-0.11668107014050424,14,-0.11668107014050424,8,0.07485075172920365,-0.13317605980099284,-0.006341717133380611,18,5,25,0.01468513715905473,0.038645242591787546,0.06002035496747335,-0.11260184448094149,-0.06636940584010208
choque_20pct_permanente,permanente,0.8,0.1999999999999999,True,deficit_externo,p.p. do PIB em relação ao benchmark,19.99999999999999,19,-2.90599375223002,19,-2.90599375223002,24,0.06428226420397462,-21.19570841131622,-1.0093194481579153,20,5,25,-0.017001948719107162,-0.0818392181771736,-0.4936955539879596,-1.3303735793925295,-0.5358334543950056
choque_20pct_permanente,permanente,0.8,0.1999999999999999,True,deficit_governo,p.p. do PIB em relação ao benchmark,19.99999999999999,22,-1.6831634532826678,22,-1.6831634532826678,17,1.4501187196889098,7.235045673523029,0.34452598445347754,21,5,25,0.15132220603104987,0.39491366729029287,0.8949532198722437,1.289698329501781,0.7725789968501542
choque_20pct_permanente,permanente,0.8,0.1999999999999999,True,inflacao,p.p. em relação ao benchmark,19.99999999999999,25,5.357105556412324,19,-5.10891509554145,25,5.357105556412324,-0.7437305305579693,-0.035415739550379494,20,5,25,0.35541060688053294,0.46190169522018953,0.7890742589832351,-0.04800247816041203,5.357105556412324
choque_20pct_permanente,permanente,0.8,0.1999999999999999,True,pib_real,% em relação ao benchmark,19.99999999999999,25,-9.093562743656786,25,-9.093562743656786,5,-0.47810014117627486,-115.8925368700086,-5.518692231905171,21,5,25,-0.47810014117627486,-0.9630840021089306,-3.8449361976911023,-7.446764194305371,-9.093562743656786
choque_20pct_permanente,permanente,0.8,0.1999999999999999,True,taxa_desemprego,p.p. em relação ao benchmark,19.99999999999999,15,1.7139758107998704,22,-1.4361765558492496,15,1.7139758107998704,9.503301094414418,0.4525381473530675,21,5,25,0.20755346507930494,0.2818719993638145,0.830026404787294,1.7139758107998704,1.1444438141363378
choque_20pct_temporario,temporario,0.8,0.1999999999999999,False,deficit_externo,p.p. do PIB em relação ao benchmark,19.99999999999999,10,-0.20136991854891634,10,-0.20136991854891634,5,-0.017001948719107162,-2.234522210860503,-0.10640581956478586,21,5,25,-0.017001948719107162,-0.075308612422619,-0.20136991854891634,-0.03217536896759984,-0.03584513939284651
choque_20pct_temporario,temporario,0.8,0.1999999999999999,False,deficit_governo,p.p. do PIB em relação ao benchmark,19.99999999999999,8,0.332199420287979,14,-0.09537180206713321,8,0.332199420287979,2.3182241385286964,0.11039162564422364,20,5,25,0.15132220603104987,0.30888018966331054,0.2506756203206322,-0.06777905869058794,-0.03606075055235497
choque_20pct_temporario,temporario,0.8,0.1999999999999999,False,inflacao,p.p. em relação ao benchmark,19.99999999999999,17,0.36580587507655404,12,-0.11163658184908627,17,0.36580587507655404,1.1969954139651002,0.056999781617385725,17,5,25,0.35541060688053294,-0.0224079193330815,-0.09851184345379367,0.14412696823926224,0.09459993375237773
choque_20pct_temporario,temporario,0.8,0.1999999999999999,False,pib_real,% em relação ao benchmark,19.99999999999999,10,-0.8870924603409595,10,-0.8870924603409595,14,-0.24260214719020928,-11.397365269098756,-0.5427316794808932,21,5,25,-0.47810014117627486,-0.3380287996345148,-0.8870924603409595,-0.3671007957248475,-0.24986998060630636
