perda_produtividade,perda_percentual,variavel,unidade,irf_pico_absoluto_temporario,irf_minima_temporario,irf_maxima_temporario,soma_irf_pos_choque_temporario,media_irf_pos_choque_temporario,periodos_significativos_95_temporario,irf_impacto_temporario,irf_+1_temporario,irf_+5_temporario,irf_+10_temporario,irf_final_temporario,irf_pico_absoluto_permanente,irf_minima_permanente,irf_maxima_permanente,soma_irf_pos_choque_permanente,media_irf_pos_choque_permanente,periodos_significativos_95_permanente,irf_impacto_permanente,irf_+1_permanente,irf_+5_permanente,irf_+10_permanente,irf_final_permanente,diferenca_irf_pico_absoluto,diferenca_irf_minima,diferenca_irf_maxima,diferenca_soma_irf_pos_choque,diferenca_media_irf_pos_choque,diferenca_periodos_significativos_95,diferenca_irf_impacto,diferenca_irf_+1,diferenca_irf_+5,diferenca_irf_+10,diferenca_irf_final
0.05,5.0,deficit_externo,p.p. do PIB em relação ao benchmark,-0.054312189936535506,-0.054312189936535506,0.000844595396539133,-0.5079395745461707,-0.02418759878791289,20,0.000844595396539133,-0.0040736539028253145,-0.054312189936535506,-0.012822076257303361,-0.016669598502046204,-0.5752871813229169,-0.5752871813229169,0.02503979883891448,-4.563082453382817,-0.21728964063727702,21,0.000844595396539133,-0.005230218473742376,-0.14004914925861095,-0.33623536058705783,-0.3238960189195834,-0.5209749913863814,-0.5209749913863814,0.02419520344237535,-4.055142878836646,-0.19310204184936414,1,0.0,-0.0011565645709170616,-0.08573695932207545,-0.32341328432975447,-0.3072264204175372
0.05,5.0,deficit_governo,p.p. do PIB em relação ao benchmark,0.07396495890330633,-0.01709826799141396,0.07396495890330633,0.5194114415343336,0.0247338781683016,19,0.007417966038865322,0.04641872952483595,0.0626967465863067,-0.01709826799141396,0.0012720074518649807,0.7024746006275574,-0.12983635745107172,0.7024746006275574,4.963173416648974,0.23634159126899879,21,0.007417966038865322,0.06430554543838583,0.32448295356386,0.367114663547868,0.7024746006275574,0.6285096417242511,-0.11273808945965776,0.6285096417242511,4.443761975114641,0.21160771310069718,2,0.0,0.017886815913549882,0.2617862069775533,0.38421293153928193,0.7012025931756924
0.05,5.0,inflacao,p.p. em relação ao benchmark,0.1355681159384396,-0.05116282300552784,0.1355681159384396,0.3538910592349396,0.016851955201663788,16,0.1355681159384396,0.04524891607555111,-0.029794342940963232,-0.000940994221209083,0.0008758223573539386,2.143291692541026,-0.281306277151357,2.143291692541026,10.744819775180137,0.5116580845323875,21,0.1355681159384396,0.1575177021980722,0.29136300360360584,0.08023678893213777,2.040029161837378,2.0077235766025865,-0.23014345414582915,2.0077235766025865,10.390928715945197,0.4948061293307237,5,0.0,0.1122687861225211,0.32115734654456907,0.08117778315334685,2.039153339480024
0.05,5.0,pib_real,% em relação ao benchmark,-0.2195673058858568,-0.2195673058858568,-0.0655629934375291,-2.721857222445758,-0.12961224868789323,21,-0.15194993485135475,-0.11451426043511398,-0.2195673058858568,-0.0655629934375291,-0.06679584559281912,-3.5526107880339515,-3.5526107880339515,-0.15194993485135475,-33.182554191750384,-1.5801216281785897,21,-0.15194993485135475,-0.23448804857774172,-1.0638170133597127,-1.808311909172336,-3.5526107880339515,-3.3330434821480948,-3.3330434821480948,-0.08638694141382565,-30.460696969304628,-1.4505093794906965,0,0.0,-0.11997378814262774,-0.8442497074738559,-1.742748915734807,-3.485814942441132
0.05,5.0,taxa_desemprego,p.p. em relação ao benchmark,-0.04750228534745546,-0.04750228534745546,0.024347066361007353,-0.05990155614583967,-0.002852455054563794,17,0.005596885771572267,0.014022999091356698,0.024347066361007353,-0.04750228534745546,-0.02154222662764094,-0.6092381257497839,-0.6092381257497839,0.19913473214288385,-1.191310109918491,-0.05672905285326148,21,0.005596885771572267,0.0198688233107081,0.16006761281015,0.11754472335946202,0.09132661052353966,-0.5617358404023284,-0.5617358404023284,0.1747876657818765,-1.1314085537726515,-0.05387659779869768,4,0.0,0.005845824219351401,0.13572054644914264,0.16504700870691746,0.1128688371511806
0.0999999999999999,9.99999999999999,deficit_externo,p.p. do PIB em relação ao benchmark,-0.10864027922776823,-0.10864027922776823,-0.0032300481709320174,-1.0861646789035297,-0.05172212756683475,21,-0.0032300481709320174,-0.014792573928870852,-0.10864027922776823,-0.01835064719004578,-0.028207426576054052,-1.010649974829237,-1.010649974829237,0.20440760402906796,-7.115243147582951,-0.3388211022658548,21,-0.0032300481709320174,-0.01621481063867158,-0.2431606808978524,-0.5669593527191301,-0.31634481108390405,-0.9020096956014688,-0.9020096956014688,0.20763765219999997,-6.029078468679421,-0.28709897469902007,0,0.0,-0.001422236709800729,-0.13452040167008417,-0.5486087055290844,-0.28813738450785
0.0999999999999999,9.99999999999999,deficit_governo,p.p. do PIB em relação ao benchmark,0.16262333120578762,-0.04403852346799917,0.16262333120578762,1.1305457685550577,0.05383551278833608,20,0.04374712033648576,0.10847802257793697,0.12674409928493266,-0.04234297259361452,-0.0158953505387864,0.921352261425925,-0.4408556559930858,0.921352261425925,6.273269674886125,0.29872712737552976,21,0.04374712033648576,0.1398992393482167,0.5346363432602482,0.5616621621648507,0.921352261425925,0.7587289302201373,-0.3968171325250866,0.7587289302201373,5.142723906331067,0.24489161458719366,1,0.0,0.03142121677027972,0.40789224397531554,0.6040051347584652,0.9372476119647114
0.0999999999999999,9.99999999999999,inflacao,p.p. em relação ao benchmark,0.20516409649294348,-0.09586708269197226,0.20516409649294348,0.6428237070780407,0.030610652718001938,19,0.20516409649294348,0.06552851787353538,-0.057912306736047595,0.032201273053211715,0.0022995355718793396,3.4891550314175546,-0.8242465387444827,3.4891550314175546,15.418543026573698,0.7342163345987475,21,0.20516409649294348,0.2923811942531249,0.5127197812333546,0.11000053814044827,3.426464531798567,3.2839909349246112,-0.7283794560525104,3.2839909349246112,14.775719319495657,0.7036056818807456,2,0.0,0.22685267637958956,0.5706320879694022,0.07779926508723656,3.424164996226688
0.0999999999999999,9.99999999999999,pib_real,% em relação ao benchmark,-0.4684376623552541,-0.4684376623552541,-0.11062700520024045,-5.640573812975336,-0.2685987529988255,21,-0.22326464187087844,-0.18611036286001187,-0.4684376623552541,-0.13861162790091147,-0.11785846511785233,-5.140975665188119,-5.140975665188119,-0.22326464187087844,-53.30473133929665,-2.538320539966507,21,-0.22326464187087844,-0.4316528975014012,-1.9505439338827828,-3.1583758820331123,-5.140975665188119,-4.672538002832865,-4.672538002832865,-0.11263763667063799,-47.66415752632132,-2.269721786967682,0,0.0,-0.2455425346413893,-1.4821062715275288,-3.019764254132201,-5.023117200070266
0.0999999999999999,9.99999999999999,taxa_desemprego,p.p. em relação ao benchmark,-0.11668107014050424,-0.11668107014050424,0.07485075172920365,-0.13317605980099284,-0.006341717133380611,18,0.01468513715905473,0.038645242591787546,0.06002035496747335,-0.11260184448094149,-0.06636940584010208,-1.0409157343670947,-1.0409157343670947,0.3452782396906791,-1.4660003014448753,-0.06980953816404167,21,0.01468513715905473,0.05169685283114288,0.29139772548244314,0.26320501579058253,0.22694853897663467,-0.9242346642265905,-0.9242346642265905,0.2704274879614755,-1.3328242416438825,-0.06346782103066106,3,0.0,0.013051610239355332,0.2313773705149698,0.375806860271524,0.29331794481673673
