series_id,date,value,unit,frequency,source,source_url,transformation,model_variable,status
crescimento_consumo_governo_real_anual,2017-12-31,-0.6799858616800991,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93405/d/v584%202,Variação anual do índice médio de volume trimestral.,governo_real,diagnostic
crescimento_consumo_governo_real_anual,2018-12-31,0.7795421037468886,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93405/d/v584%202,Variação anual do índice médio de volume trimestral.,governo_real,diagnostic
crescimento_consumo_governo_real_anual,2019-12-31,-0.49101212396376326,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93405/d/v584%202,Variação anual do índice médio de volume trimestral.,governo_real,diagnostic
crescimento_consumo_governo_real_anual,2020-12-31,-3.6923128918329606,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93405/d/v584%202,Variação anual do índice médio de volume trimestral.,governo_real,diagnostic
crescimento_consumo_governo_real_anual,2021-12-31,4.176024705221781,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93405/d/v584%202,Variação anual do índice médio de volume trimestral.,governo_real,diagnostic
crescimento_consumo_governo_real_anual,2022-12-31,2.1390554470120726,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93405/d/v584%202,Variação anual do índice médio de volume trimestral.,governo_real,diagnostic
crescimento_consumo_governo_real_anual,2023-12-31,3.782856765937792,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93405/d/v584%202,Variação anual do índice médio de volume trimestral.,governo_real,diagnostic
crescimento_consumo_governo_real_anual,2024-12-31,2.003622727850507,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93405/d/v584%202,Variação anual do índice médio de volume trimestral.,governo_real,diagnostic
crescimento_consumo_governo_real_anual,2025-12-31,2.1106905307101576,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93405/d/v584%202,Variação anual do índice médio de volume trimestral.,governo_real,diagnostic
crescimento_exportacoes_reais_anual,1997-12-31,12.75508900978215,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93407/d/v584%202,Variação anual do índice médio de volume trimestral.,exportacoes_real,diagnostic
crescimento_exportacoes_reais_anual,1998-12-31,4.820259587287912,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93407/d/v584%202,Variação anual do índice médio de volume trimestral.,exportacoes_real,diagnostic
crescimento_exportacoes_reais_anual,1999-12-31,5.609940572663441,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93407/d/v584%202,Variação anual do índice médio de volume trimestral.,exportacoes_real,diagnostic
crescimento_exportacoes_reais_anual,2000-12-31,13.576558695340779,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93407/d/v584%202,Variação anual do índice médio de volume trimestral.,exportacoes_real,diagnostic
crescimento_exportacoes_reais_anual,2001-12-31,8.588260728569907,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93407/d/v584%202,Variação anual do índice médio de volume trimestral.,exportacoes_real,diagnostic
crescimento_exportacoes_reais_anual,2002-12-31,6.551855723126443,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93407/d/v584%202,Variação anual do índice médio de volume trimestral.,exportacoes_real,diagnostic
crescimento_exportacoes_reais_anual,2003-12-31,11.07097256391889,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93407/d/v584%202,Variação anual do índice médio de volume trimestral.,exportacoes_real,diagnostic
crescimento_exportacoes_reais_anual,2004-12-31,13.606796388717557,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93407/d/v584%202,Variação anual do índice médio de volume trimestral.,exportacoes_real,diagnostic
crescimento_exportacoes_reais_anual,2005-12-31,11.146622572126663,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93407/d/v584%202,Variação anual do índice médio de volume trimestral.,exportacoes_real,diagnostic
crescimento_exportacoes_reais_anual,2006-12-31,4.847287140144996,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93407/d/v584%202,Variação anual do índice médio de volume trimestral.,exportacoes_real,diagnostic
crescimento_exportacoes_reais_anual,2007-12-31,5.634444126772342,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93407/d/v584%202,Variação anual do índice médio de volume trimestral.,exportacoes_real,diagnostic
crescimento_exportacoes_reais_anual,2008-12-31,-0.22053369153350877,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93407/d/v584%202,Variação anual do índice médio de volume trimestral.,exportacoes_real,diagnostic
crescimento_exportacoes_reais_anual,2009-12-31,-8.687134561674936,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93407/d/v584%202,Variação anual do índice médio de volume trimestral.,exportacoes_real,diagnostic
crescimento_exportacoes_reais_anual,2010-12-31,11.749238098381575,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93407/d/v584%202,Variação anual do índice médio de volume trimestral.,exportacoes_real,diagnostic
crescimento_exportacoes_reais_anual,2011-12-31,5.350004922713381,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93407/d/v584%202,Variação anual do índice médio de volume trimestral.,exportacoes_real,diagnostic
crescimento_exportacoes_reais_anual,2012-12-31,0.17008709954766665,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93407/d/v584%202,Variação anual do índice médio de volume trimestral.,exportacoes_real,diagnostic
crescimento_exportacoes_reais_anual,2013-12-31,2.054372772563595,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93407/d/v584%202,Variação anual do índice médio de volume trimestral.,exportacoes_real,diagnostic
crescimento_exportacoes_reais_anual,2014-12-31,-1.5074779683329265,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93407/d/v584%202,Variação anual do índice médio de volume trimestral.,exportacoes_real,diagnostic
crescimento_exportacoes_reais_anual,2015-12-31,6.794197087405696,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93407/d/v584%202,Variação anual do índice médio de volume trimestral.,exportacoes_real,diagnostic
crescimento_exportacoes_reais_anual,2016-12-31,0.6370644625800503,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93407/d/v584%202,Variação anual do índice médio de volume trimestral.,exportacoes_real,diagnostic
crescimento_exportacoes_reais_anual,2017-12-31,5.3881097139698575,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93407/d/v584%202,Variação anual do índice médio de volume trimestral.,exportacoes_real,diagnostic
crescimento_exportacoes_reais_anual,2018-12-31,3.5802378084257347,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93407/d/v584%202,Variação anual do índice médio de volume trimestral.,exportacoes_real,diagnostic
crescimento_exportacoes_reais_anual,2019-12-31,-2.560126582278488,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93407/d/v584%202,Variação anual do índice médio de volume trimestral.,exportacoes_real,diagnostic
crescimento_exportacoes_reais_anual,2020-12-31,-2.8060147445682193,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93407/d/v584%202,Variação anual do índice médio de volume trimestral.,exportacoes_real,diagnostic
crescimento_exportacoes_reais_anual,2021-12-31,4.987135362715955,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93407/d/v584%202,Variação anual do índice médio de volume trimestral.,exportacoes_real,diagnostic
crescimento_exportacoes_reais_anual,2022-12-31,6.133929566033824,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93407/d/v584%202,Variação anual do índice médio de volume trimestral.,exportacoes_real,diagnostic
crescimento_exportacoes_reais_anual,2023-12-31,8.868930255572138,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93407/d/v584%202,Variação anual do índice médio de volume trimestral.,exportacoes_real,diagnostic
crescimento_exportacoes_reais_anual,2024-12-31,1.9529393941480677,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93407/d/v584%202,Variação anual do índice médio de volume trimestral.,exportacoes_real,diagnostic
crescimento_exportacoes_reais_anual,2025-12-31,6.648294867378568,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93407/d/v584%202,Variação anual do índice médio de volume trimestral.,exportacoes_real,diagnostic
crescimento_fbcf_real_anual,1997-12-31,8.42269111034244,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93406/d/v584%202,Variação anual do índice médio de volume trimestral.,fbcf_fixa_real,diagnostic
crescimento_fbcf_real_anual,1998-12-31,-0.13672720643529424,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93406/d/v584%202,Variação anual do índice médio de volume trimestral.,fbcf_fixa_real,diagnostic
crescimento_fbcf_real_anual,1999-12-31,-8.84695251352029,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93406/d/v584%202,Variação anual do índice médio de volume trimestral.,fbcf_fixa_real,diagnostic
crescimento_fbcf_real_anual,2000-12-31,4.748911029890346,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93406/d/v584%202,Variação anual do índice médio de volume trimestral.,fbcf_fixa_real,diagnostic
crescimento_fbcf_real_anual,2001-12-31,1.3072676433333985,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93406/d/v584%202,Variação anual do índice médio de volume trimestral.,fbcf_fixa_real,diagnostic
crescimento_fbcf_real_anual,2002-12-31,-1.4767633875914066,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93406/d/v584%202,Variação anual do índice médio de volume trimestral.,fbcf_fixa_real,diagnostic
crescimento_fbcf_real_anual,2003-12-31,-3.945982185614405,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93406/d/v584%202,Variação anual do índice médio de volume trimestral.,fbcf_fixa_real,diagnostic
crescimento_fbcf_real_anual,2004-12-31,8.398145378402644,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93406/d/v584%202,Variação anual do índice médio de volume trimestral.,fbcf_fixa_real,diagnostic
crescimento_fbcf_real_anual,2005-12-31,1.938599517074846,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93406/d/v584%202,Variação anual do índice médio de volume trimestral.,fbcf_fixa_real,diagnostic
crescimento_fbcf_real_anual,2006-12-31,6.672983216026007,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93406/d/v584%202,Variação anual do índice médio de volume trimestral.,fbcf_fixa_real,diagnostic
crescimento_fbcf_real_anual,2007-12-31,11.887239352028068,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93406/d/v584%202,Variação anual do índice médio de volume trimestral.,fbcf_fixa_real,diagnostic
crescimento_fbcf_real_anual,2008-12-31,12.257357249513312,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93406/d/v584%202,Variação anual do índice médio de volume trimestral.,fbcf_fixa_real,diagnostic
crescimento_fbcf_real_anual,2009-12-31,-2.2056842672413812,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93406/d/v584%202,Variação anual do índice médio de volume trimestral.,fbcf_fixa_real,diagnostic
crescimento_fbcf_real_anual,2010-12-31,18.095106917805893,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93406/d/v584%202,Variação anual do índice médio de volume trimestral.,fbcf_fixa_real,diagnostic
crescimento_fbcf_real_anual,2011-12-31,6.90751108000931,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93406/d/v584%202,Variação anual do índice médio de volume trimestral.,fbcf_fixa_real,diagnostic
crescimento_fbcf_real_anual,2012-12-31,0.8304922951043237,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93406/d/v584%202,Variação anual do índice médio de volume trimestral.,fbcf_fixa_real,diagnostic
crescimento_fbcf_real_anual,2013-12-31,5.7844980321616335,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93406/d/v584%202,Variação anual do índice médio de volume trimestral.,fbcf_fixa_real,diagnostic
crescimento_fbcf_real_anual,2014-12-31,-4.185844328526134,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93406/d/v584%202,Variação anual do índice médio de volume trimestral.,fbcf_fixa_real,diagnostic
crescimento_fbcf_real_anual,2015-12-31,-13.933441861706386,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93406/d/v584%202,Variação anual do índice médio de volume trimestral.,fbcf_fixa_real,diagnostic
crescimento_fbcf_real_anual,2016-12-31,-12.193798449612403,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93406/d/v584%202,Variação anual do índice médio de volume trimestral.,fbcf_fixa_real,diagnostic
crescimento_fbcf_real_anual,2017-12-31,-2.6149907301138975,%,annual,IBGE/SIDRA 1621,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/93406/d/v584%202,Variação anual do índice médio de volume trimestral.,fbcf_fixa_real,diagnostic
