ano,pib_real_indice,crescimento_pib_real_pct,inflacao_ipca_pct,taxa_desemprego_pct,populacao,crescimento_populacao_pct,crescimento_consumo_governo_real_pct,crescimento_fbcf_real_pct,crescimento_exportacoes_reais_pct
1980,,,99.27980254486424,,,,,,
1981,,,95.6548539437813,,,,,,
1982,,,104.80406176346575,,,,,,
1983,,,163.99999239483355,,,,,,
1984,,,215.27919301290393,,,,,,
1985,,,242.24839243605226,,,,,,
1986,,,79.65643132395195,,,,,,
1987,,,363.41351146043036,,,,,,
1988,,,980.2211219272108,,,,,,
1989,,,1972.91228059041,,,,,,
1990,,,1620.9664711631156,,,,,,
1991,,,472.6852241291544,,,,,,
1992,,,1119.0924622965636,,,,,,
1993,,,2477.1480315791655,,,,,,
1994,,,916.4328636176823,,,,,,
1995,,,22.408880161162557,,,,,,
1996,101.91,,9.563805563282601,,,,,,
1997,105.6975,3.7165145716808956,5.224731816448935,,,,1.2553792875149572,8.42269111034244,12.75508900978215
1998,106.0725,0.3547860640034095,1.655644167020709,,,,3.231566240820838,-0.13672720643529424,4.820259587287912
1999,106.5775,0.47608946710975264,8.939934506010495,,,,1.6882262661697123,-8.84695251352029,5.609940572663441
2000,111.135,4.276230911777823,5.974339393259931,,,,-0.16050979828470258,4.748911029890346,13.576558695340779
2001,112.8275,1.5229225716471007,7.673263015152032,,172385826.0,,2.6106778644271245,1.3072676433333985,8.588260728569907
2002,116.2325,3.0178812789435128,12.530337079575006,,174632960.0,1.3035491676676392,3.8117063816851093,-1.4767633875914066,6.551855723126443
2003,117.58500000000001,1.1636160282193053,9.299949329235124,,176871437.0,1.281818163077575,1.574572567747179,-3.945982185614405,11.07097256391889
2004,123.96000000000001,5.421609899221846,7.600644138060408,,181569056.0,2.6559511697753724,3.8787368047547233,8.398145378402644,13.606796388717557
2005,128.455,3.626169732171669,5.68973334585865,,184184264.0,1.4403379395220295,2.0110586879016346,1.938599517074846,11.146622572126663
2006,133.54,3.958584718383862,3.1417749683044116,,186770562.0,1.404190533888383,3.57240022602181,6.672983216026007,4.847287140144996
2007,141.4925,5.955144525984735,4.457330433237816,,,,4.057385330369789,11.887239352028068,5.634444126772342
2008,148.25,4.77587151262433,5.902313417525473,,189605006.0,,2.056390539438402,12.257357249513312,-0.22053369153350877
2009,148.4925,0.1635750421585147,4.312028329689976,,191480630.0,0.9892270460411856,2.9358601137812412,-2.2056842672413812,-8.687134561674936
2010,159.71,7.554253581830728,5.909068347266211,,,,3.9094269870610043,18.095106917805893,11.749238098381575
2011,166.25,4.094922046208738,6.503109040628829,,192379287.0,,2.1898069910166518,6.90751108000931,5.350004922713381
2012,168.9275,1.6105263157894845,5.838568997639171,7.4,193904015.0,0.7925634946344351,2.2908470563659744,0.8304922951043237,0.17008709954766665
2013,174.3425,3.205517159728277,5.910818080013747,7.3,201032714.0,3.676406081637862,1.5145842551308686,5.7844980321616335,2.054372772563595
2014,175.2575,0.5248290003871725,6.407616596391974,7.0,202768562.0,0.8634654357797755,0.8180781868168729,-4.185844328526134,-1.5074779683329265
2015,169.06,-3.536225268533444,10.673497995621716,8.9,204450049.0,0.829264153878051,-1.429996674426326,-13.933441861706386,6.794197087405696
2016,163.15,-3.495800307583108,6.288055054224473,11.6,206081432.0,0.7979372017660857,0.22435897435895136,-12.193798449612403,0.6370644625800503
2017,165.8,1.6242721422004225,2.9473499083459087,12.6,207660929.0,0.7664431407871763,-0.6799858616800991,-2.6149907301138975,5.3881097139698575
2018,168.5825,1.6782267792521122,3.745482121827348,12.1,208494900.0,0.4016022677043818,0.7795421037468886,5.189106864416004,3.5802378084257347
2019,170.64749999999998,1.2249195497753051,4.306039984113186,11.8,210147125.0,0.7924534365109093,-0.49101212396376326,4.040264754550482,-2.560126582278488
2020,164.555,-3.570225171772201,4.517341500509886,13.7,211755692.0,0.7654480164789312,-3.6923128918329606,-1.7229953611663351,-2.8060147445682193
2021,172.9475,5.100118501412898,10.061054893257904,14.0,213317639.0,0.7376174804311741,4.176024705221781,13.014160485502346,4.987135362715955
2022,178.33249999999998,3.113661660330447,5.784841959607756,9.6,,,2.1390554470120726,1.0158114558472597,6.133929566033824
2023,184.1325,3.2523516465030378,4.621113930566789,7.7,,,3.782856765937792,-2.908994255843833,8.868930255572138
2024,189.64,2.9910526387248337,4.831295791859591,6.6,212583750.0,,2.003622727850507,6.810542805432607,1.9529393941480677
2025,194.555,2.591752794769042,4.264384904568952,5.6,213421037.0,0.3938621837275891,2.1106905307101576,2.9774024975437685,6.648294867378568
