variavel,momento,empirico,simulado,erro,erro_normalizado
inflacao,mean,0.0585296061260725,0.06788753369543384,0.009357927569361338,0.4470204221336759
inflacao,std,0.0209340045913226,0.03451077900730696,0.013576774415984358,0.6485512294963428
inflacao,acf1,0.3402389308939738,0.9131943811911152,0.5729554502971415,0.5729554502971415
crescimento_pib_real,mean,0.0144854409990556,0.01659226104561961,0.00210682004656401,0.06395158367883302
crescimento_pib_real,std,0.0329439855179276,0.02213009015612904,-0.01081389536179856,-0.32825097485286986
crescimento_pib_real,acf1,0.5906504306847934,0.7620363519486804,0.17138592126388696,0.17138592126388696
taxa_desemprego,mean,0.098375,0.11246958427894733,0.01409458427894733,0.5822507814038496
taxa_desemprego,std,0.0242070680351244,0.020492230769282964,-0.0037148372658414378,-0.153460851204748
taxa_desemprego,acf1,0.865349199995868,0.7918916303893008,-0.07345756960656724,-0.07345756960656724
crescimento_populacao,mean,0.0111501690158733,0.0038000000000000264,-0.007350169015873274,-0.7033424844369419
inflacao_desemprego_defasado,corr_pi_t_u_t_1,-0.8016014296423983,-0.5427361564294262,0.25886527321297215,0.25886527321297215
