rank,taxa_crescimento_populacional,taxa_crescimento_demanda_autonoma,a1,a3,velocidade_ajuste_expectativa_demanda,lambda_expectativa_precos,velocidade_ajuste_estoques_firmas,gamma_investimento_capacidade,gamma_investimento_retorno,eta_preco_padrao,eta_qualidade_padrao,parametro_markup,rho_qualidade,sigma_qualidade,rho_produtividade_idiossincratica,sigma_produtividade_idiossincratica,loss
48,0.008,0.05000000000000006,0.03,0.9300000000000002,0.4100000000000001,0.45,0.31,0.23,0.07,-2.200000000000003,0.49999999999999994,0.48,0.03,0.01,0.76,0.02,6.25841968777632
49,0.0036,0.028000000000000042,0.41,0.5300000000000001,0.9400000000000002,1.05,0.42000000000000004,0.95,0.09,-2.150000000000002,0.8999999999999999,0.16,0.47000000000000003,0.135,0.49999999999999994,0.075,6.685610083806502
50,0.0032,0.03200000000000004,0.51,0.46,1.0,0.75,0.52,0.9199999999999999,0.060000000000000005,-2.400000000000002,0.3999999999999999,0.15,0.44000000000000006,0.10500000000000001,0.45999999999999996,0.085,6.763814506758752
51,0.0045000000000000005,0.03800000000000005,0.43999999999999995,0.9600000000000002,0.4800000000000001,0.35000000000000003,0.75,0.77,0.11,-2.9000000000000004,1.3499999999999996,0.5,0.15,0.04,0.9400000000000001,0.049999999999999996,6.798264095105891
52,0.0103,0.036000000000000046,0.16999999999999996,0.13,1.0,0.1,0.46,0.9,0.14,-0.6000000000000085,1.2999999999999998,0.16,0.33,0.025,0.75,0.115,6.849050199239046
53,0.0093,0.06,0.12999999999999998,0.44000000000000006,0.31000000000000005,0.75,0.86,0.94,0.019999999999999997,-1.8000000000000045,1.3999999999999997,0.15,0.37,0.08000000000000002,0.3,0.10500000000000001,7.036532200584813
54,0.0082,0.05500000000000006,0.18999999999999997,0.43000000000000005,0.22000000000000003,0.65,0.82,0.8899999999999999,0.08,-1.9000000000000044,1.4499999999999997,0.19999999999999998,0.47,0.06500000000000002,0.25,0.115,7.820882253991342
55,0.0029000000000000002,0.03800000000000005,0.41999999999999993,0.28,0.32000000000000006,1.1500000000000001,0.62,0.47000000000000003,0.35000000000000003,-2.9000000000000004,1.2499999999999998,0.04,0.17,0.11,0.55,0.09000000000000001,7.922061761727162
56,0.0059,0.010000000000000026,0.5399999999999999,0.4800000000000001,0.6000000000000002,0.35000000000000003,0.38,0.74,0.0,-2.5500000000000016,0.6499999999999999,0.23,0.86,0.02,0.34,0.005,10.042372586922907
57,0.0029000000000000002,0.03200000000000004,0.29,0.9900000000000002,0.9000000000000002,1.0,0.74,0.91,0.5700000000000001,-2.200000000000003,0.7,0.19,0.46,0.1,0.36,0.07500000000000001,10.199375994020334
58,0.0013,0.056500000000000064,0.44999999999999996,0.23000000000000004,0.49000000000000005,1.1,0.89,0.83,0.049999999999999996,-2.1000000000000036,2.1499999999999995,0.36,0.72,0.1,0.89,0.11000000000000001,10.503407631699202
59,0.0056,0.03300000000000004,0.5099999999999999,0.28,0.8000000000000002,0.30000000000000004,0.04,0.92,0.03,-2.400000000000002,0.44999999999999996,0.08,0.71,0.13,0.25,0.030000000000000002,10.610737010009098
60,0.0027,1.734723475976807e-17,0.07999999999999999,0.22000000000000003,0.9800000000000002,0.8500000000000001,0.9400000000000001,0.25,0.29,-2.3000000000000025,0.3,0.36,0.68,0.11,0.24,0.11,11.854914095349399
61,0.0087,0.058000000000000065,0.15999999999999998,0.5100000000000001,0.30000000000000004,0.65,0.89,0.9199999999999999,0.03,-1.6500000000000044,1.5999999999999996,0.12,0.38,0.1,0.26,0.115,12.468979268335476
62,0.0037,0.004500000000000021,0.59,0.19,0.12000000000000001,0.6000000000000001,0.73,0.8099999999999999,0.9900000000000001,-1.8500000000000039,1.0499999999999998,0.1,0.35000000000000003,0.065,0.24,0.07,12.90760676598739
63,0.0087,0.059000000000000066,0.15999999999999998,0.5600000000000002,0.26000000000000006,0.4,0.9,0.8999999999999999,0.05,-1.6500000000000044,1.5999999999999996,0.07999999999999999,0.33,0.1,0.25,0.10500000000000001,13.144750785525765
64,0.001,0.059000000000000066,0.06,0.7800000000000001,0.13,1.25,0.99,0.96,0.06,-2.3000000000000025,3.599999999999999,0.23,0.47000000000000003,0.08,0.21,0.01,13.239633365168707
65,0.009300000000000001,0.018500000000000034,0.41,0.15000000000000002,0.16000000000000003,1.4000000000000001,0.78,0.65,0.42,-1.4500000000000055,1.4999999999999998,0.09,0.22,0.04,0.92,0.04,13.255727919697835
66,0.0006000000000000001,0.03800000000000005,0.17999999999999997,0.12000000000000001,0.9600000000000002,0.35000000000000003,0.29,0.8200000000000001,0.04,-2.0500000000000034,0.5499999999999999,0.18,0.64,0.045,0.0,0.02,13.479997657827887
67,0.0039000000000000003,0.004500000000000021,0.58,0.19,0.13,0.45,0.78,0.86,0.9400000000000001,-1.900000000000004,1.0999999999999999,0.13,0.39,0.07,0.22,0.095,13.679177002348522
68,0.0087,0.056500000000000064,0.19999999999999996,0.5100000000000001,0.29000000000000004,0.4,0.87,0.95,0.05,-1.5500000000000045,1.5999999999999996,0.19,0.47,0.1,0.24000000000000002,0.12000000000000001,13.786065586955104
69,0.0111,0.02700000000000004,0.19999999999999996,0.5600000000000002,0.42000000000000004,0.1,0.96,0.81,0.55,-1.1500000000000066,1.8499999999999996,0.13,0.29,0.049999999999999996,0.01,0.049999999999999996,13.881608232311923
70,0.0087,0.06,0.11999999999999997,0.5000000000000001,0.35000000000000003,0.7000000000000001,0.85,0.8899999999999999,0.05,-1.7500000000000044,1.5999999999999996,0.11,0.33,0.115,0.23,0.10500000000000001,14.330816682213067
71,0.0011,0.0005000000000000178,0.07999999999999999,0.42000000000000004,0.33,0.0,0.9,0.76,0.51,-1.2500000000000062,1.7499999999999996,0.12,0.27,0.045,0.97,0.045,14.514271769367504
72,0.0024000000000000002,0.048000000000000057,0.44999999999999996,0.5800000000000002,0.08000000000000002,0.9500000000000001,0.37,0.18,0.86,-0.45000000000000906,2.6999999999999993,0.22,0.46,0.07,0.15,0.07,14.880506891185343
73,0.0008,0.008500000000000025,0.37999999999999995,0.7300000000000002,0.4800000000000001,0.9,0.01,0.07,0.11,-1.5500000000000052,1.5999999999999996,0.18,0.48,0.08,0.3,0.10500000000000001,15.267344156465597
74,0.0016,0.058000000000000065,0.42999999999999994,0.19000000000000003,0.54,1.0,0.9,0.89,0.049999999999999996,-2.0000000000000036,1.9499999999999993,0.33,0.73,0.060000000000000005,0.9500000000000001,0.08000000000000002,15.411266918443848
75,0.006900000000000001,0.011000000000000027,0.12999999999999998,0.18000000000000005,0.9100000000000003,0.65,0.88,0.98,0.23,-0.7000000000000082,3.249999999999999,0.06,0.12,0.005,0.28,0.09000000000000001,15.642925939665204
76,0.0041,0.0020000000000000213,0.5599999999999999,0.21,0.13,0.45,0.78,0.83,0.9400000000000001,-1.900000000000004,1.3499999999999999,0.13,0.39,0.07,0.27,0.075,16.694085278617408
77,0.0061,0.05400000000000006,0.31,0.7000000000000002,0.5000000000000001,0.25,0.02,0.86,0.59,-1.050000000000007,1.9499999999999997,0.14,0.31,0.049999999999999996,0.03,0.055,16.91796816747029
78,0.0037,0.0015000000000000187,0.6,0.8100000000000002,0.6900000000000002,1.4000000000000001,0.58,0.91,0.29,-2.6000000000000014,0.9499999999999998,0.41000000000000003,0.5,0.07,0.15,0.02,17.269157859353225
79,0.008700000000000001,0.028000000000000042,0.5499999999999999,0.45000000000000007,0.8700000000000002,0.55,0.08,0.9400000000000001,0.14,-2.8000000000000007,0.6499999999999999,0.28,0.16,0.115,0.47000000000000003,0.045,17.346478613991554
