cenario,tipo_choque,multiplicador_produtividade,perda_produtividade,choque_permanente,periodo,variavel,media,mediana,desvio_padrao,p5,p95
benchmark,benchmark,1.0,0.0,False,0,deficit_externo,0.010583740505574736,0.010583740505574736,0.0,0.010583740505574736,0.010583740505574736
benchmark,benchmark,1.0,0.0,False,0,deficit_governo,0.12063832026847152,0.12063832026847152,0.0,0.12063832026847152,0.12063832026847152
benchmark,benchmark,1.0,0.0,False,0,inflacao,0.03,0.03,0.0,0.03,0.03
benchmark,benchmark,1.0,0.0,False,0,pib_real,7609597.0,7609597.0,0.0,7609597.0,7609597.0
benchmark,benchmark,1.0,0.0,False,0,taxa_desemprego,0.138,0.138,0.0,0.138,0.138
benchmark,benchmark,1.0,0.0,False,1,deficit_externo,0.007984462372586081,0.007984885903803248,3.926196770118726e-06,0.007984789509826234,0.007984885903803248
benchmark,benchmark,1.0,0.0,False,1,deficit_governo,0.11859323999532138,0.11859183719691781,1.301595028183166e-05,0.11859183719691781,0.11859204268442422
benchmark,benchmark,1.0,0.0,False,1,inflacao,0.030000000000000027,0.030000000000000027,2.2176955098475445e-17,0.030000000000000027,0.030000000000000027
benchmark,benchmark,1.0,0.0,False,1,pib_real,7652695.035586558,7652724.38733265,272.4260577675231,7652720.511295713,7652724.38733265
benchmark,benchmark,1.0,0.0,False,1,taxa_desemprego,0.1403920608512945,0.14039181650999813,2.241695576433764e-06,0.14039181650999813,0.14039188596331856
benchmark,benchmark,1.0,0.0,False,2,deficit_externo,0.003750554589595176,0.0037350567384015704,0.0016062757211644525,0.0012639399917380085,0.0064097518044404795
benchmark,benchmark,1.0,0.0,False,2,deficit_governo,0.12048060047939364,0.12049697829678668,6.805356220435828e-05,0.12035087318142733,0.12056834786677496
benchmark,benchmark,1.0,0.0,False,2,inflacao,0.0241790974363568,0.024178903792151374,6.352236575683177e-06,0.024168803029150497,0.024189329108142775
benchmark,benchmark,1.0,0.0,False,2,pib_real,7802944.495067831,7801636.532252673,7209.9131308595925,7793839.30654957,7814570.75365547
benchmark,benchmark,1.0,0.0,False,2,taxa_desemprego,0.13522962058815893,0.13522708141572493,2.1605326851770385e-05,0.13522708141572493,0.13522848442316332
benchmark,benchmark,1.0,0.0,False,3,deficit_externo,0.005747096504157826,0.005743644046670199,0.0015545355430605363,0.0035434152280053124,0.007982075671837357
benchmark,benchmark,1.0,0.0,False,3,deficit_governo,0.11184773284071642,0.11185072468678268,0.0008446542854071099,0.11054861292060025,0.11337891797923047
benchmark,benchmark,1.0,0.0,False,3,inflacao,0.026860137300484296,0.02686369906445485,3.627102333315835e-05,0.02681065147278915,0.02691262388561052
benchmark,benchmark,1.0,0.0,False,3,pib_real,8053418.840898419,8052453.326104144,22860.68877838277,8015425.902262519,8088025.718333901
benchmark,benchmark,1.0,0.0,False,3,taxa_desemprego,0.12475496402664281,0.12465420863232873,0.0008896642521635596,0.12326081915943915,0.12620645537562453
benchmark,benchmark,1.0,0.0,False,4,deficit_externo,0.00708078762998537,0.006938860115528333,0.0016459210316347754,0.004696605395465656,0.010087054088963179
benchmark,benchmark,1.0,0.0,False,4,deficit_governo,0.10432981919155379,0.10424876552638039,0.0015669958518124117,0.101873196088259,0.10681325879284824
benchmark,benchmark,1.0,0.0,False,4,inflacao,0.030262741853643558,0.030294405279839287,0.0003937899769649422,0.02966043531771566,0.03095903702938426
benchmark,benchmark,1.0,0.0,False,4,pib_real,8377935.379555072,8376895.75896104,37785.39992784701,8321375.753632962,8435326.425282277
benchmark,benchmark,1.0,0.0,False,4,taxa_desemprego,0.10902857243934669,0.10895973774110385,0.0021729610014057706,0.10541393387532699,0.11228768150238537
benchmark,benchmark,1.0,0.0,False,5,deficit_externo,0.010868201966439194,0.010667870790971689,0.0017746073782461834,0.008312487008012733,0.014037632875582969
benchmark,benchmark,1.0,0.0,False,5,deficit_governo,0.0960918439420372,0.09579066839599404,0.0023898364145642755,0.09264610008549708,0.100496111337903
benchmark,benchmark,1.0,0.0,False,5,inflacao,0.044716605694918934,0.044846715518834346,0.0014125051811041186,0.04226812241236093,0.04697498348904675
benchmark,benchmark,1.0,0.0,False,5,pib_real,8646837.337065423,8647328.970058728,48295.8346591793,8562526.83540309,8719277.49846319
benchmark,benchmark,1.0,0.0,False,5,taxa_desemprego,0.09437819078388669,0.09408655902161528,0.0029887738851059925,0.08995459229796665,0.09969775295142115
benchmark,benchmark,1.0,0.0,False,6,deficit_externo,0.012046451669863713,0.011964950668575395,0.002118732317768845,0.00876659943218869,0.0155291378732727
benchmark,benchmark,1.0,0.0,False,6,deficit_governo,0.09616080382703278,0.09638180975997657,0.002943955292141908,0.09131664559681148,0.1013783505892651
benchmark,benchmark,1.0,0.0,False,6,inflacao,0.06457785898483538,0.0644963978751848,0.0029246131429294946,0.059662561095566904,0.0691307773043709
benchmark,benchmark,1.0,0.0,False,6,pib_real,8824739.564344821,8819814.131836897,52571.192411311175,8740979.499702828,8916554.931608077
benchmark,benchmark,1.0,0.0,False,6,taxa_desemprego,0.0890005686260159,0.08901455491296023,0.003665454877715551,0.08309969052740361,0.09571262907740333
benchmark,benchmark,1.0,0.0,False,7,deficit_externo,0.013846609622341268,0.0139775923579789,0.002439508576420723,0.010165664953586659,0.017700485381955833
benchmark,benchmark,1.0,0.0,False,7,deficit_governo,0.10416258233053619,0.10425181846383653,0.0035558922524715625,0.09872375461471189,0.10953368311573684
benchmark,benchmark,1.0,0.0,False,7,inflacao,0.08826352150147301,0.08828786141882916,0.004827913969310689,0.07947886891508021,0.09563726611136056
benchmark,benchmark,1.0,0.0,False,7,pib_real,8922491.252550554,8921532.686070137,61661.060325783066,8830171.502074217,9012081.617892968
benchmark,benchmark,1.0,0.0,False,7,taxa_desemprego,0.09345474464925622,0.09339039164146322,0.004197917597360121,0.08676480730052959,0.09914622154821139
benchmark,benchmark,1.0,0.0,False,8,deficit_externo,0.011729703730847123,0.012054156802551199,0.0025326064790208627,0.007220881772984158,0.01575518694617272
benchmark,benchmark,1.0,0.0,False,8,deficit_governo,0.12077504957244525,0.1207646132572762,0.004582346179555744,0.11369078305666938,0.12815668395034627
benchmark,benchmark,1.0,0.0,False,8,inflacao,0.10446615636725307,0.10426409381503798,0.006042420854512628,0.09408525381207697,0.11546314087147924
benchmark,benchmark,1.0,0.0,False,8,pib_real,8925595.374527758,8924076.352772254,69946.28328455836,8811737.93665744,9048751.303519817
benchmark,benchmark,1.0,0.0,False,8,taxa_desemprego,0.10382829355463956,0.10399882689105194,0.005041676171426277,0.09503352287119142,0.1116980284586063
benchmark,benchmark,1.0,0.0,False,9,deficit_externo,0.006227986582285857,0.006208102922909341,0.0028407485685754868,0.0015403508133544606,0.011246788547880261
benchmark,benchmark,1.0,0.0,False,9,deficit_governo,0.1388084235752913,0.13874737529934705,0.00516983697381223,0.13118348408876723,0.14738331206891983
benchmark,benchmark,1.0,0.0,False,9,inflacao,0.11094203798646195,0.11127306488498023,0.006674623531480385,0.1010786742499339,0.12101447586299702
benchmark,benchmark,1.0,0.0,False,9,pib_real,8848004.477186562,8847557.462797461,79468.31933942558,8713753.795164643,8963563.92365209
benchmark,benchmark,1.0,0.0,False,9,taxa_desemprego,0.11637001726081088,0.1161900665569506,0.005646290996354299,0.10763286704317937,0.12631187460605295
benchmark,benchmark,1.0,0.0,False,10,deficit_externo,-0.003363534817812212,-0.0033827138326674444,0.0029640256790093773,-0.008245970548588135,0.0013622677143242813
benchmark,benchmark,1.0,0.0,False,10,deficit_governo,0.15597767181110464,0.15577785696483845,0.0056836470897922405,0.1475206852420428,0.16516333035777775
benchmark,benchmark,1.0,0.0,False,10,inflacao,0.10481554776062536,0.10453688061930066,0.0068219489644276606,0.0933507734127182,0.1160530946452503
benchmark,benchmark,1.0,0.0,False,10,pib_real,8731618.432452327,8738136.594670456,83717.11716257964,8594327.606941195,8855557.69853876
benchmark,benchmark,1.0,0.0,False,10,taxa_desemprego,0.1283759399419664,0.12783020840573284,0.006013460585062153,0.12028116398208484,0.13805710095603857
benchmark,benchmark,1.0,0.0,False,11,deficit_externo,-0.014047004681140347,-0.014314318930197006,0.003236624696219531,-0.01946270932538077,-0.008950062557331275
benchmark,benchmark,1.0,0.0,False,11,deficit_governo,0.1677178356658167,0.1684269075052541,0.006399126094026447,0.15597108289824052,0.17692908416690853
benchmark,benchmark,1.0,0.0,False,11,inflacao,0.09053432752537838,0.09056080939209954,0.006642110554921279,0.07944940858279488,0.10093147012443665
benchmark,benchmark,1.0,0.0,False,11,pib_real,8646445.925576665,8642574.079207117,99335.2817231681,8484413.776061548,8815943.993983144
benchmark,benchmark,1.0,0.0,False,11,taxa_desemprego,0.13625896407835886,0.13674305826269834,0.006915647691939328,0.12479647575463598,0.146221298199153
benchmark,benchmark,1.0,0.0,False,12,deficit_externo,-0.024275839366957822,-0.02428578218596545,0.003552899532787543,-0.030214055939599006,-0.019004705355716488
