cenario,tipo_choque,multiplicador_produtividade,perda_produtividade,choque_permanente,periodo,variavel,unidade,media,mediana,desvio_padrao,p5,p95
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,7,inflacao,p.p. em relação ao benchmark,0.24754479100637616,0.24417474114942772,0.018679499300904213,0.22303872328572671,0.27894919132989693
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,7,pib_real,% em relação ao benchmark,-0.37586983279318614,-0.3730650373892086,0.016516789418445765,-0.4066799208893246,-0.35240665297786633
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,7,taxa_desemprego,p.p. em relação ao benchmark,0.044252679404194584,0.04666042773470991,0.019693602084521446,0.007884870432619956,0.06821611761568425
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,8,deficit_externo,p.p. do PIB em relação ao benchmark,-0.05611291545227313,-0.05711072574630916,0.0062586020862797865,-0.06378542174449897,-0.04325863594423578
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,8,deficit_governo,p.p. do PIB em relação ao benchmark,0.19744831829664733,0.201985795974495,0.019744973599691705,0.1595986907768888,0.22427608634071622
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,8,inflacao,p.p. em relação ao benchmark,0.2640169203013709,0.26264743581055905,0.01144602473236464,0.24785437304857716,0.2842604502200641
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,8,pib_real,% em relação ao benchmark,-0.5757308125790512,-0.5758989305269302,0.03515559055787676,-0.63018902746388,-0.5116866949730592
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,8,taxa_desemprego,p.p. em relação ao benchmark,0.07946274782341708,0.08300529570830287,0.023298472306499136,0.03799136478746676,0.10687364319420078
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,9,deficit_externo,p.p. do PIB em relação ao benchmark,-0.0853147013083137,-0.0865841073202772,0.009670493042648142,-0.09894806421960038,-0.07026840001949987
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,9,deficit_governo,p.p. do PIB em relação ao benchmark,0.2515844236298881,0.254060887787802,0.020523820366919496,0.21802831311266022,0.2823521784960113
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,9,inflacao,p.p. em relação ao benchmark,0.30242599514860435,0.3022121816362189,0.017648234764495282,0.27541019584017223,0.331221454325209
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,9,pib_real,% em relação ao benchmark,-0.812645717286142,-0.8170980063653632,0.04542418683036337,-0.8845022169195144,-0.7346720435888932
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,9,taxa_desemprego,p.p. em relação ao benchmark,0.11500018914370463,0.11635323778878062,0.019520057183369164,0.07991338014174058,0.14190594693512637
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,10,deficit_externo,p.p. do PIB em relação ao benchmark,-0.140049149258611,-0.13932861441144595,0.009320391337101249,-0.15525551027521783,-0.12594555367766955
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,10,deficit_governo,p.p. do PIB em relação ao benchmark,0.32448295356386,0.32370618319218086,0.020234229003027376,0.29237912697995044,0.35507499349144184
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,10,inflacao,p.p. em relação ao benchmark,0.2913630036036059,0.29041654948975815,0.015780178553477832,0.2673072446716185,0.3157687575433643
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,10,pib_real,% em relação ao benchmark,-1.063817013359713,-1.0605205433464493,0.04597515961842078,-1.1399065325504565,-0.9920735431779115
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,10,taxa_desemprego,p.p. em relação ao benchmark,0.16006761281015003,0.1607417501933328,0.013051686864498577,0.14151426364414174,0.180414107577673
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,11,deficit_externo,p.p. do PIB em relação ao benchmark,-0.1816034393605492,-0.1799192245806651,0.010294625475576349,-0.19960215603959114,-0.16740127225963328
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,11,deficit_governo,p.p. do PIB em relação ao benchmark,0.365746959557222,0.366569297679363,0.020586300844773094,0.3332502342669884,0.39631285536273136
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,11,inflacao,p.p. em relação ao benchmark,0.28289771006565867,0.2831856603309979,0.02050371111037363,0.25393980536770666,0.3158249299860161
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,11,pib_real,% em relação ao benchmark,-1.289899951652415,-1.2863822276172665,0.04398288729237255,-1.3688468562484368,-1.2124170499861153
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,11,taxa_desemprego,p.p. em relação ao benchmark,0.18872522550536097,0.18865316221128442,0.016935174176458116,0.16491840195065388,0.2171936267594643
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,12,deficit_externo,p.p. do PIB em relação ao benchmark,-0.22960356881625776,-0.228470316203205,0.012167483007873719,-0.2528055181766039,-0.21231845344174585
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,12,deficit_governo,p.p. do PIB em relação ao benchmark,0.39273422966739313,0.38600727616397573,0.025968589852837603,0.35865081690292067,0.4411847415027957
