cenario,tipo_choque,multiplicador_produtividade,perda_produtividade,choque_permanente,simulacao,seed,periodo,variavel,irf,unidade
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,2,43,19,pib_real,-0.10065048041435487,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,2,43,20,pib_real,-0.14728239133180443,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,2,43,21,pib_real,-0.20177455288893364,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,2,43,22,pib_real,-0.23273324234605042,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,2,43,23,pib_real,-0.22371026790041215,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,2,43,24,pib_real,-0.17396814961917473,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,2,43,25,pib_real,-0.0848994059933772,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,3,44,0,pib_real,0.0,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,3,44,1,pib_real,0.0,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,3,44,2,pib_real,0.0,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,3,44,3,pib_real,0.0,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,3,44,4,pib_real,0.0,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,3,44,5,pib_real,-0.08591066489074262,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,3,44,6,pib_real,-0.1333342390510972,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,3,44,7,pib_real,-0.18289278897684058,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,3,44,8,pib_real,-0.21000837137472583,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,3,44,9,pib_real,-0.22625857996056986,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,3,44,10,pib_real,-0.2222405574448194,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,3,44,11,pib_real,-0.19810396157725618,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,3,44,12,pib_real,-0.1640805817296087,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,3,44,13,pib_real,-0.12773190044188532,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,3,44,14,pib_real,-0.08855929284738995,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,3,44,15,pib_real,-0.07933708680828433,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,3,44,16,pib_real,-0.09654171836631642,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,3,44,17,pib_real,-0.10754073419897425,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,3,44,18,pib_real,-0.12036990537234171,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,3,44,19,pib_real,-0.12033618210705033,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,3,44,20,pib_real,-0.12574247044502274,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,3,44,21,pib_real,-0.12599598643219245,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,3,44,22,pib_real,-0.12743793963138073,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,3,44,23,pib_real,-0.1188302880994585,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,3,44,24,pib_real,-0.1050758062907109,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,3,44,25,pib_real,-0.09247513234726945,% em relação ao benchmark
