cenario,tipo_choque,multiplicador_produtividade,perda_produtividade,choque_permanente,simulacao,seed,periodo,pib_real,taxa_desemprego,inflacao,deficit_governo,deficit_externo
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,1,42,0,7609597.0,0.138,0.03,0.12063832026847152,0.010583740505574736
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,1,42,1,7652724.38733265,0.14039181650999813,0.030000000000000027,0.11859183719691781,0.007984885903803248
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,1,42,2,7801103.962356615,0.13522744274108023,0.02418925667905869,0.12049839550176797,0.0062871968075281755
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,1,42,3,8022931.17537678,0.12581917429507655,0.026808879878366332,0.11284390543883532,0.005699729118197142
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,1,42,4,8394049.117589632,0.11075441073636484,0.029794467562436644,0.10562257887155795,0.0052840663367776635
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,1,42,5,8591649.890566215,0.09639171052677993,0.04440762497552475,0.09800380560671738,0.008293902075954382
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,1,42,6,8792990.673340166,0.09046750288140988,0.06247675172017919,0.09726522931185304,0.011740127282162121
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,1,42,7,8920839.383584796,0.09077181070635582,0.0848959466188699,0.10317398896853101,0.013986409853355185
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,1,42,8,9007532.851065367,0.09465050980439776,0.10322077371420657,0.1144543946626014,0.012569157650610984
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,1,42,9,8961547.256006662,0.1065636369177167,0.11629573105343449,0.1298265740365316,0.009052037749881427
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,1,42,10,8855746.85514148,0.12160965819339391,0.114593750372187,0.15077946247456056,0.002015462647003318
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,1,42,11,8684468.91342141,0.13596886102225988,0.1041036707446572,0.1681188970694411,-0.008326380924691285
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,1,42,12,8590892.25010181,0.14049149892928367,0.0824714578452912,0.1791558848788788,-0.023214218716993067
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,1,42,13,8753269.188594978,0.1338865124911643,0.06291562106181536,0.17305669736011542,-0.03193159718012646
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,1,42,14,9068746.874340786,0.11662705652565993,0.04451952996492636,0.16086047771864545,-0.03449789743594756
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,1,42,15,9762412.271344507,0.08687058729797976,0.03921862587537284,0.13738208919035574,-0.023949474845478883
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,1,42,16,10216583.888760405,0.06292417041574515,0.0537454332906151,0.12012360351424939,-0.017737222365214786
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,1,42,17,10575691.0957421,0.053557304036268814,0.09410414164332193,0.11146443850327392,-0.006334116002982747
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,1,42,18,10858113.256650882,0.057141552519670666,0.14808782574329982,0.11801032353322645,0.0047826685140606295
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,1,42,19,11158087.93961511,0.06439364654478404,0.19551749976107313,0.13553830615828172,0.013351173208223547
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,1,42,20,11186446.24006189,0.06769052417517323,0.22340099347215925,0.15283371117449074,0.01299841162999202
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,1,42,21,11175363.448706768,0.0734882790050825,0.23696370346246742,0.16324542462639915,0.009921390459269515
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,1,42,22,10971653.727703609,0.0871951542667397,0.23082069457643195,0.183187183730933,-0.005123367999972288
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,1,42,23,10769080.874144703,0.09603876433096789,0.20977624035499165,0.20191507623957283,-0.023133640445817765
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,1,42,24,10679933.715309085,0.09970915118712759,0.17792659741514694,0.20723126229898153,-0.036767170168460164
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,1,42,25,10786481.216924086,0.08733905527351879,0.14715804244177266,0.20252916099487453,-0.04976004594950838
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,2,43,0,7609597.0,0.138,0.03,0.12063832026847152,0.010583740505574736
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,2,43,1,7652724.38733265,0.14039181650999813,0.030000000000000027,0.11859183719691781,0.007984885903803248
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,2,43,2,7795020.874483838,0.13522708141572493,0.024191530163762076,0.12053436588815551,0.006861983543173556
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,2,43,3,8037316.46680246,0.12476063426065676,0.026811775187928433,0.11260565842351052,0.00624820585705405
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,2,43,4,8348844.63122399,0.11108254305111744,0.030217521397929215,0.10567504655299073,0.007147843342347539
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,2,43,5,8580436.312467253,0.0986243107862162,0.044433614518603726,0.09940674444845066,0.009001984253520659
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,2,43,6,8795126.863247642,0.0888682068362235,0.06148779074671773,0.09747826301298144,0.009781205489347885
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,2,43,7,8981875.16930275,0.08706144716646907,0.08604972641313946,0.0992922613649955,0.013541922143154847
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,2,43,8,9028813.751751546,0.09476587140054252,0.10620193784778986,0.11249098634516135,0.016130364243243708
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,2,43,9,8972951.212179268,0.10870846762796292,0.11833601888381207,0.13189560057295743,0.010854087602496471
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,2,43,10,8811592.629502371,0.12492805851456716,0.11695377390217598,0.1532619825964584,0.0023235979133628994
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,2,43,11,8645996.470522173,0.1369969337331397,0.10280372029579699,0.17100335162430733,-0.011371830890558708
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,2,43,12,8571079.343574245,0.1445245906797342,0.08120627355152688,0.1807916048149115,-0.025184731147479673
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,2,43,13,8616663.318438118,0.14181150925632627,0.058167724523023434,0.18078134151620714,-0.03412550676265188
