Código CNAE 2.0,Seções e divisões da classificação de atividades ,Faias de pessoal ocupado total,"Número de empresas 
e outras 
organizações",Pessoal ocupado total,"Pessoal ocupado
assalariado","Pessoal ocupado
assalariado.1","Pessoal ocupado
assalariado.2","Pessoal ocupado
assalariado.3","Pessoal ocupado
assalariado.4",Pessoal assalariado médio,Pessoal assalariado médio.1,Pessoal assalariado médio.2,Pessoal assalariado médio.3,Pessoal assalariado médio.4,Salários e outras remunerações,Salários e outras remunerações.1,Salários e outras remunerações.2,Salários e outras remunerações.3,Salários e outras remunerações.4,"Salário médio  mensal 
(salários mínimos) (1) (2)","Salário médio  mensal 
(salários mínimos) (1) (2).1","Salário médio  mensal 
(salários mínimos) (1) (2).2","Salário médio  mensal 
(salários mínimos) (1) (2).3","Salário médio  mensal 
(salários mínimos) (1) (2).4","Salário médio mensal 
(R$) (2)","Salário médio mensal 
(R$) (2).1","Salário médio mensal 
(R$) (2).2","Salário médio mensal 
(R$) (2).3","Salário médio mensal 
(R$) (2).4",setor,limite_inferior,numero_empresas,pessoal_ocupado
H,"Transporte, armazenagem e correio",50 a 99,3187,220597,216108,181643,34465,13733,202375,209228.05,176802.98,32425.07,13324.86,195903.19,6795649.99,5804286.431,991363.559,945358.536,5850291.454,2.271303,2.295743,2.138041,4.961327,2.088334,2498.43320206386,2525.31700322803,2351.84489371009,5457.45976952969,2297.16738935421,H,50,3187,220597.0
H,"Transporte, armazenagem e correio",100 a 249,1808,275525,272731,227656,45075,22244,250487,263158.65,221845.97,41312.68,21351.52,241807.13,9674349.205,8223358.357,1450990.848,1869289.226,7805059.979,2.570799,2.592159,2.456096,6.122259,2.257206,2827.8785746808,2851.37488619486,2701.70515723949,6734.4844265456,2482.92607895328,H,100,1808,275525.0
H,"Transporte, armazenagem e correio",250 a 499,692,244030,242919,199864,43055,23187,219732,239587.62,199256.54,40331.08,22674.31,216913.31,9444217.775,7913546.963,1530670.812,2261620.023,7182597.752,2.756548,2.777299,2.654031,6.975085,2.315577,3032.20295933745,3055.02836579031,2919.43356377723,7672.59382975711,2547.13516374175,H,250,692,244030.0
H,"Transporte, armazenagem e correio",500 ou mais,618,959289,958399,763475,194924,135278,823121,957545.82,770125.9,187419.92,139146.08,818399.74,45838574.496,37429081.163,8409493.333,14945720.207,30892854.289,3.347615,3.398689,3.137748,7.511209,2.639712,3682.37646528497,3738.55766889743,3451.52266919366,8262.32966932195,2903.68299340632,H,500,618,959289.0
I,Alojamento e alimentação,0 a 4,177853,351321,142678,52230,90448,3468,139210,163457.86,62686.32,100771.54,4095.51,159362.35,2780458.025,1117101.473,1663356.552,96099.873,2684358.152,1.189528,1.246189,1.154281,1.640887,1.177928,1308.4802807186,1370.80757872629,1269.70872927019,1804.97616245032,1295.72065557131,I,0,177853,351321.0
I,Alojamento e alimentação,5 a 9,61727,405263,311457,120366,191091,7147,304310,287623.3,113183.43,174439.87,6802.04,280821.26,5105305.066,2091793.84,3013511.226,159922.69,4945382.376,1.241257,1.292409,1.208067,1.644125,1.231498,1365.38233970507,1421.64995760898,1328.87370213102,1808.53764232721,1354.64825178506,I,5,61727,405263.0
I,Alojamento e alimentação,10 a 19,33270,441687,385557,170474,215083,10478,375079,354330.52,157854.95,196475.57,9945.23,344385.29,6779755.746,3154605.058,3625150.688,283677.592,6496078.154,1.338041,1.397497,1.290273,1.994684,1.319078,1471.84519349118,1537.24623484067,1419.29984084418,2194.15269740059,1450.98624723042,I,10,33270,441687.0
I,Alojamento e alimentação,20 a 29,8100,191796,179997,89434,90563,5841,174156,164056.11,81977.66,82078.45,5540.74,158515.37,3398170.142,1779733.673,1618436.469,183728.237,3214441.905,1.448494,1.518181,1.378893,2.318847,1.418072,1593.34329718515,1669.99875613392,1516.78196895775,2550.73172675352,1559.87877972386,I,20,8100,191796.0
I,Alojamento e alimentação,30 a 49,4495,166037,159980,82599,77381,6286,153694,143464.02,74187.69,69276.33,5961,137503.02,3125046.194,1700720.18,1424326.014,218543.989,2906502.205,1.523272,1.603116,1.437767,2.563797,1.478163,1675.59900223924,1763.42772272286,1581.54364612648,2820.17716438904,1625.97950715779,I,30,4495,166037.0
I,Alojamento e alimentação,50 a 99,1635,107265,105116,54318,50798,5264,99852,91989.86,47940.9,44048.96,4974.65,87015.21,2169062.868,1204484.928,964577.94,207474.636,1961588.232,1.648907,1.756949,1.531319,2.91653,1.576437,1813.79762776195,1932.64387546397,1684.45073565694,3208.18296455336,1734.08077118401,I,50,1635,107265.0
I,Alojamento e alimentação,100 a 249,588,86374,85504,42413,43091,5946,79558,73998.27,36704.58,37293.69,5604.73,68393.54,1810957.858,961499.92,849457.938,272171.548,1538786.31,1.711397,1.831863,1.592834,3.395877,1.573357,1882.53658653621,2015.0491384915,1752.1172699106,3735.46503097864,1730.69236790942,I,100,588,86374.0
I,Alojamento e alimentação,250 a 499,155,53307,53114,21998,31116,4063,49051,47060.41,19752.44,27307.97,3839.93,43220.48,1191538.434,554688.47,636849.964,233891.034,957647.4,1.770583,1.963778,1.630841,4.259457,1.549459,1947.64139571637,2160.15559830349,1793.92531811155,4685.40259848487,1704.40459280842,I,250,155,53307.0
I,Alojamento e alimentação,500 ou mais,105,244002,243859,89773,154086,19844,224015,226720.57,84574.83,142145.74,19243.89,207476.68,5927062.504,2534524.88,3392537.624,1360920.166,4566142.338,1.828153,2.095653,1.668994,4.945426,1.539019,2010.96832511967,2305.21837652754,1835.893447214,5439.9690818948,1692.92143246023,I,500,105,244002.0
J,Informação e comunicação,0 a 4,163063,238802,29253,17712,11541,6751,22502,38605.44,23823.62,14781.82,10016.21,28589.23,1449213.697,987656.922,461556.775,756109.731,693103.966,2.625112,2.899094,2.18354,5.278924,1.695352,2887.62352384295,3189.00357647643,2401.89417187412,5806.81585150471,1864.88722124757,J,0,163063,238802.0
J,Informação e comunicação,5 a 9,13628,88921,59625,38243,21382,13523,46102,58608.02,37680.35,20927.67,13633.43,44974.59,1802147.412,1228176.598,573970.814,716604.455,1085542.957,2.150291,2.279344,1.917931,3.675685,1.687889,2365.32003640457,2507.27827430151,2109.72368528953,4043.25394382665,1856.67739015776,J,5,13628,88921.0
J,Informação e comunicação,10 a 19,8109,108772,91723,59657,32066,23163,68560,88434.98,57981.54,30453.44,22596.56,65838.42,3157772.571,2212681.08,945091.491,1387809.216,1769963.355,2.497013,2.668659,2.170208,4.294884,1.879961,2746.71382731828,2935.52459839937,2387.22933965879,4724.3719874584,2067.9570880907,J,10,8109,108772.0
J,Informação e comunicação,20 a 29,2485,59385,54958,35182,19776,15633,39325,52322.03,33692.53,18629.5,15108.97,37213.06,2353130.701,1620591.292,732539.409,1234586.15,1118544.551,3.145035,3.363596,2.749753,5.714135,2.101948,3459.53805544389,3699.95570577171,3024.72880687578,6285.548610171,2312.14225700497,J,20,2485,59385.0
J,Informação e comunicação,30 a 49,2103,79582,76105,49088,27017,24734,51371,70643.38,46004.84,24638.54,23054.65,47588.73,3489292.314,2444598.69,1044693.624,2002872.112,1486420.202,3.45406,3.715934,2.96509,6.075173,2.184245,3799.46572597352,4087.52759659469,3261.59942918696,6682.69028323837,2402.67003423839,J,30,2103,79582.0
J,Informação e comunicação,50 a 99,1543,104726,102177,64296,37881,40398,61779,92629.44,58808.44,33821,36268.95,56360.49,5369083.873,3743758.617,1625325.256,3432997.075,1936086.798,4.053359,4.451764,3.360608,6.619153,2.402227,4458.69533238278,4896.94050848693,3696.66833305661,7281.06818854483,2642.44958999306,J,50,1543,104726.0
J,Informação e comunicação,100 a 249,856,130008,128509,81287,47222,62965,65544,117024.4,74692.89,42331.51,57742.54,59281.86,8804669.031,6153052.065,2651616.966,6489506.784,2315162.247,5.261391,5.7607,4.380372,7.859226,2.731012,5787.53006342136,6336.77043836023,4818.40916721737,8645.14843888858,3004.11295488004,J,100,856,130008.0
J,Informação e comunicação,250 a 499,281,97867,97440,61766,35674,52849,44591,88351.46,56158.45,32193.01,48441.06,39910.4,7574805.945,5329500.271,2245305.674,5829487.937,1745318.008,5.995449,6.636443,4.877282,8.415516,3.058105,6594.99435985116,7300.08679562367,5365.01001543264,9257.06722767834,3363.91595635763,J,250,281,97867.0
J,Informação e comunicação,500 ou mais,238,440404,440034,275612,164422,247806,192228,420432.36,266449.49,153982.87,239185.99,181246.37,40929549.773,28507852.461,12421697.312,32201129.285,8728420.488,6.807769,7.481929,5.641213,9.414545,3.367676,7488.54561436561,8230.12169311801,6205.3342546879,10355.999299959,3704.44362894211,J,500,238,440404.0
K,"Atividades financeiras, de seguros e serviços relacionados",0 a 4,140187,223749,21838,7342,14496,4604,17234,24130.57,8422.53,15708.04,5277.76,18852.81,863455.854,414736.632,448719.222,428995.48,434460.374,2.502284,3.44345,1.997637,5.68417,1.611529,2752.51189992292,3787.79509792828,2197.40102716629,6252.58676174974,1772.68156679194,K,0,140187,223749.0
K,"Atividades financeiras, de seguros e serviços relacionados",5 a 9,11920,72966,28320,10131,18189,6817,21503,27614.22,9824.86,17789.36,6872.68,20741.54,1121807.075,525699.642,596107.433,575284.156,546522.919,2.840857,3.741754,2.343302,5.853562,1.842601,3124.94258114395,4115.92979441946,2577.63168113282,6438.91864376275,2026.86129084251,K,5,11920,72966.0
K,"Atividades financeiras, de seguros e serviços relacionados",10 a 19,3672,45898,28701,10965,17736,8898,19803,28202.3,10764.8,17437.5,8864.03,19338.27,1534740.841,786285.493,748455.348,933278.764,601462.077,3.805524,5.107851,3.00155,7.362819,2.174977,4186.076588407,5618.63661763697,3301.70542266336,8099.10099061557,2392.47428106985,K,10,3672,45898.0
K,"Atividades financeiras, de seguros e serviços relacionados",20 a 29,782,18515,16314,6345,9969,6345,9969,15475.1,6010.13,9464.97,6113.48,9361.62,1111629.421,635462.489,476166.932,787381.69,324247.731,5.023316,7.393839,3.518066,9.006598,2.422088,5525.64800625123,8133.22339501424,3869.8723332944,9907.25778242381,2664.29668730905,K,20,782,18515.0
K,"Atividades financeiras, de seguros e serviços relacionados",30 a 49,745,28509,25990,10535,15455,11947,14043,26652.29,10544.65,16107.64,12303.78,14348.51,2282266.705,1337874.275,944392.43,1739622.361,542644.344,5.988194,8.872522,4.100006,9.887361,2.644676,6587.01287235327,9759.77446090964,4510.00714806524,10876.0969955825,2909.14336160233,K,30,745,28509.0
K,"Atividades financeiras, de seguros e serviços relacionados",50 a 99,716,50630,47735,19610,28125,25788,21947,45439.89,18724.77,26715.12,24833.41,20606.48,4586238.665,2827315.751,1758922.914,3751603.281,834635.384,7.058027,10.558976,4.604194,10.564392,2.832415,7763.83018566692,11614.873079883,5064.61369499312,11620.8312821006,3115.65691210502,K,50,716,50630.0
K,"Atividades financeiras, de seguros e serviços relacionados",100 a 249,602,93891,90891,37428,53463,52518,38373,85965.34,35206.59,50758.75,49649.12,36316.22,7340189.8,4178743.949,3161445.851,5890526.919,1449662.881,5.971011,8.300147,4.355508,8.296722,2.791453,6568.11203928682,9130.16120648916,4791.0585344323,9126.3944921419,3070.59846282714,K,100,602,93891.0
K,"Atividades financeiras, de seguros e serviços relacionados",250 a 499,234,79329,77974,30681,47293,45838,32136,74786.77,29559.05,45227.72,44431.48,30355.29,6592784.264,3612292.219,2980492.045,5358127.203,1234657.061,6.164645,8.545872,4.608369,8.43308,2.844303,6781.10915977416,9400.45881822214,5069.2057624429,9276.38761976869,3128.7337421887,K,250,234,79329.0
K,"Atividades financeiras, de seguros e serviços relacionados",500 ou mais,267,792810,791455,355752,435703,524461,266994,772252.21,346792.27,425459.94,517303.22,254948.99,78660217.707,43949950.442,34710267.265,66482887.734,12177329.973,7.122951,8.862433,5.7051,8.987288,3.340125,7835.24591980324,9748.67582433537,6275.60977620162,9886.01672966731,3674.13767840684,K,500,267,792810.0
L,Atividades imobiliárias,0 a 4,145070,247456,27276,10234,17042,4303,22973,29011.34,11670.31,17341.03,4632.65,24378.69,682512.383,290411.901,392100.482,178041.295,504471.088,1.645155,1.740187,1.581199,2.687542,1.447071,1809.67003035577,1914.20596368048,1739.31857210682,2956.29590639682,1591.77824188635,L,0,145070,247456.0
L,Atividades imobiliárias,5 a 9,14000,85911,36045,15996,20049,5567,30478,34822.02,15573.51,19248.51,5390.21,29431.81,886387.4,409534.626,476852.774,221312.337,665075.063,1.780056,1.838942,1.732412,2.871203,1.58022,1958.06119673259,2022.83644075494,1905.65309290873,3158.32331636002,1738.24240611669,L,5,14000,85911.0
L,Atividades imobiliárias,10 a 19,3765,47515,33381,16416,16965,5337,28044,32433.47,15894.69,16538.78,5339.59,27093.88,923469.275,456665.198,466804.077,259040.723,664428.552,1.9911,2.009138,1.973764,3.392533,1.714909,2190.20962224896,2210.05204592516,2171.1399464215,3731.78642209205,1886.3997557893,L,10,3765,47515.0
L,Atividades imobiliárias,20 a 29,694,16295,14994,7891,7103,2575,12419,14513.42,7544.21,6969.21,2595.29,11918.13,469481.799,250413.31,219068.489,157629.821,311851.978,2.262106,2.321173,2.198165,4.247334,1.829803,2488.31664338671,2553.29084260543,2417.98169817945,4672.06780211608,2012.78335546832,L,20,694,16295.0
L,Atividades imobiliárias,30 a 49,488,18457,17701,9926,7775,3305,14396,17001.12,9513.24,7487.88,3241.27,13759.85,662654.33,371886.828,290767.502,277058.157,385596.173,2.725671,2.733671,2.715507,5.977502,1.95967,2998.23835135568,3007.03851442023,2987.05787527003,6575.25165230818,2155.63716733272,L,30,488,18457.0
L,Atividades imobiliárias,50 a 99,292,19969,19443,11391,8052,3815,15628,18208.66,10703.77,7504.89,3553.37,14655.29,678304.302,391079.771,287224.531,292607.814,385696.488,2.605017,2.55501,2.676339,5.758501,1.840413,2865.51860488361,2810.51062454559,2943.97315514387,6334.35116090229,2024.45401048936,L,50,292,19969.0
L,Atividades imobiliárias,100 a 249,96,13011,12871,7579,5292,2461,10410,11717.11,6927.23,4789.88,2189.84,9527.27,408756.344,234933.214,173823.13,157910.4,250845.944,2.43954,2.37164,2.537739,5.04269,1.841207,2683.49411179956,2608.80405188043,2791.51252223438,5546.95952496705,2025.32749110226,L,100,96,13011.0
L,Atividades imobiliárias,250 a 499,28,9341,9316,4976,4340,3445,5871,8734.24,4675.07,4059.17,3211.52,5522.72,669566.71,387558.942,282007.768,478006.258,191560.452,5.360838,5.797138,4.858339,10.40847,2.425587,5896.92194609509,6376.85132151867,5344.17263400381,11449.3175050587,2668.14529518342,L,250,28,9341.0
L,Atividades imobiliárias,500 ou mais,13,11696,11675,5670,6005,4370,7305,10227.58,4994.44,5233.14,3709.65,6517.93,671089.132,382832.295,288256.837,448159.435,222929.697,4.588506,5.360258,3.851955,8.448188,2.391785,5047.35635634988,5896.28428350788,4237.15070610644,9293.00680449845,2630.96385367275,L,500,13,11696.0
M,"Atividades profissionais, científicas e técnicas",0 a 4,407408,628490,107367,39851,67516,28783,78584,119050.35,47152.9,71897.45,31353,87697.35,2928400.099,1263129.17,1665270.929,1111786.85,1816613.249,1.72014,1.873283,1.619703,2.479741,1.448572,1892.153581043,2060.61095516272,1781.67325502129,2727.71554188165,1593.42877170528,M,0,407408,628490.0
M,"Atividades profissionais, científicas e técnicas",5 a 9,38861,248838,164992,68080,96912,48376,116616,159850.24,65711.21,94139.03,47406.79,112443.45,4420604.419,1918120.142,2502484.277,1837554.522,2583049.897,1.933892,2.041269,1.858941,2.710589,1.606433,2127.28172174925,2245.39623042658,2044.83507572217,2981.64773118268,1767.07621407096,M,5,38861,248838.0
M,"Atividades profissionais, científicas e técnicas",10 a 19,16502,216825,174590,77609,96981,53160,121430,167109.06,73586.86,93522.2,51946.76,115162.3,5415770.335,2509490.709,2906279.626,2466323.693,2949446.642,2.266336,2.384785,2.173135,3.320134,1.790994,2492.96907107803,2623.26381158476,2390.44816343894,3652.14706660908,1970.09360635448,M,10,16502,216825.0
M,"Atividades profissionais, científicas e técnicas",20 a 29,4029,95731,87288,41460,45828,27439,59849,82605.53,39046.8,43558.73,26285.41,56320.12,3341080.46,1724349.125,1616731.335,1773242.12,1567838.34,2.828406,3.088188,2.595533,4.717558,1.946712,3111.24678009776,3397.00667877048,2855.08665762647,5189.31376759959,2141.38303026999,M,20,4029,95731.0
M,"Atividades profissionais, científicas e técnicas",30 a 49,2816,105227,98926,48949,49977,32468,66458,91799.88,45833.07,45966.81,30083.86,61716.02,3911596.879,1992715.196,1918881.683,2040455.496,1871141.383,2.979723,3.040397,2.919227,4.743048,2.12018,3277.69565292879,3344.43632747473,3211.14915974574,5217.35292867747,2332.19758076528,M,30,2816,105227.0
M,"Atividades profissionais, científicas e técnicas",50 a 99,1631,111129,107691,60351,47340,34119,73572,96832.41,54688.56,42143.85,30604.69,66227.72,4599424.59,2701052.173,1898372.417,2602666.162,1996758.428,3.321595,3.453826,3.150004,5.946952,2.108384,3653.75488990165,3799.20853789025,3465.00491676813,6541.64735485363,2319.22225548224,M,50,1631,111129.0
M,"Atividades profissionais, científicas e técnicas",100 a 249,752,111517,109906,64700,45206,39790,70116,97739.21,57826.87,39912.34,36127.25,61611.96,6316319.147,3820862.932,2495456.215,4265764.787,2050554.36,4.519175,4.620572,4.372268,8.25707,2.327396,4971.09300981034,5082.62911741149,4809.49426629998,9082.77693005014,2560.13525246122,M,100,752,111517.0
M,"Atividades profissionais, científicas e técnicas",250 a 499,233,80655,80154,46070,34084,33479,46675,73731.54,43550.69,30180.85,30572.87,43158.67,5079699.909,3086708.673,1992991.236,3529502.953,1550196.956,4.817799,4.95638,4.617829,8.073118,2.511787,5299.5793502503,5452.01760735152,5079.61234205949,8880.42984364393,2762.9655800864,M,250,233,80655.0
M,"Atividades profissionais, científicas e técnicas",500 ou mais,181,229225,228825,132304,96521,95941,132884,215754.3,124902.43,90851.87,88906.76,126847.54,16284151.096,10109084.041,6175067.055,11543076.687,4741074.409,5.278003,5.659849,4.753043,9.079266,2.613718,5805.80320941282,6225.83443178561,5228.34761768715,9987.19305397112,2875.08950872471,M,500,181,229225.0
N,Atividades administrativas e serviços complementares,0 a 4,428788,612505,230304,146349,83955,14062,216242,270635.17,171980.74,98654.43,16954.87,253680.3,6627569.02,4645238.381,1982330.639,595265.015,6032304.005,1.712513,1.888827,1.405153,2.45516,1.662878,1883.76478023334,2077.70956973259,1545.66776404029,2700.67635661385,1829.16602116916,N,0,428788,612505.0
N,Atividades administrativas e serviços complementares,5 a 9,75234,479980,384875,265576,119299,20962,363913,384713.99,266179.18,118534.81,21400.02,363313.97,10252319.601,7656060.261,2596259.34,908476.765,9343842.836,1.86358,2.011385,1.531673,2.968682,1.798487,2049.93836930051,2212.52358048671,1684.84057065664,3265.54966195934,1978.33609654693,N,5,75234,479980.0
N,Atividades administrativas e serviços complementares,10 a 19,32479,420503,315312,204132,111180,24768,290544,311849.02,202464.47,109384.55,24552.54,287296.48,7838424.762,5335624.216,2502800.546,1047321.952,6791102.81,1.757715,1.842894,1.600052,2.982962,1.653004,1933.48611749069,2027.18349545478,1760.05769483055,3281.25835766577,1818.30464419945,N,10,32479,420503.0
N,Atividades administrativas e serviços complementares,20 a 29,8195,196089,185885,115665,70220,16231,169654,179951.51,112799.22,67152.29,15668.37,164283.14,4723935.415,3083550.445,1640384.97,862410.336,3861525.079,1.835745,1.911652,1.70824,3.849055,1.643728,2019.31980069349,2102.81762654851,1879.06412768305,4233.96030444677,1808.10027548967,N,20,8195,196089.0
N,Atividades administrativas e serviços complementares,30 a 49,7241,275745,267719,163622,104097,22089,245630,254260.22,157627.93,96632.29,21250.25,233009.97,6608277.492,4325072.199,2283205.293,1109241.822,5499035.67,1.817497,1.918775,1.652291,3.65028,1.65035,1999.24721942801,2110.65298809379,1817.52058638593,4015.30777284973,1815.38474017294,N,30,7241,275745.0
N,Atividades administrativas e serviços complementares,50 a 99,5737,393624,387490,238621,148869,28907,358583,368425.71,227908.7,140517.01,27935.15,340490.56,9312627.27,6080629.153,3231998.117,1611404.071,7701223.199,1.767609,1.865742,1.608445,4.033828,1.58168,1944.37012510922,2052.3161427226,1769.28928226718,4437.21115897686,1739.84789633657,N,50,5737,393624.0
N,Atividades administrativas e serviços complementares,100 a 249,2857,428532,425474,260076,165398,32252,393222,410247.78,251188.85,159058.93,31321.88,378925.9,10571386.816,6940093.923,3631292.893,2193953.266,8377433.55,1.801979,1.932097,1.596494,4.898279,1.54604,1982.17672556514,2125.30683066668,1756.14297504995,5388.10683924955,1700.64375484657,N,100,2857,428532.0
N,Atividades administrativas e serviços complementares,250 a 499,922,316440,315370,186043,129327,24438,290932,305866.68,181302.91,124563.77,23979.56,281887.12,7911794.005,5156758.995,2755035.01,1635435.735,6276358.27,1.808868,1.989006,1.546676,4.769318,1.557028,1989.75429048419,2187.90624400984,1701.3435768683,5246.24925754075,1712.73093286419,N,250,922,316440.0
N,Atividades administrativas e serviços complementares,500 ou mais,1121,2259492,2258289,1138189,1120100,181937,2076352,2180986.89,1112409.08,1068577.81,173474.01,2007512.88,54866685.664,32117755.421,22748930.243,9977165.898,44889519.766,1.759218,2.019039,1.48874,4.021951,1.56369,1935.13968433169,2220.94247095336,1637.61374663021,4424.14572561131,1720.05869372056,N,500,1121,2259492.0
O,"Administração pública, defesa e seguridade social",0 a 4,5721,,,,,,,,,,,,,,,,,2.80058,3.255278,2.457463,3.621916,2.098644,,,,,,O,0,5721,0.0
O,"Administração pública, defesa e seguridade social",5 a 9,2433,15886,15847,7250,8597,6771,9076,16271.73,7471.8,8799.93,6824.1,9447.63,664874.123,341557.289,323316.834,390080.088,274794.035,2.857391,3.196703,2.56929,3.997352,2.033988,3143.13003643081,3516.37324545419,2826.21858268278,4397.08688550646,2237.38680413053,O,5,2433,15886.0
O,"Administração pública, defesa e seguridade social",10 a 19,1427,19330,19298,9207,10091,7520,11778,19916.73,9531.09,10385.64,7563.91,12352.82,813906.736,422506.938,391399.798,450599.92,363306.816,2.857726,3.099954,2.635429,4.165899,2.056702,3143.49847899422,3409.94930194843,2898.9717310855,4582.4887270859,2262.37232905896,O,10,1427,19330.0
O,"Administração pública, defesa e seguridade social",20 a 29,646,,,,,,,,,,,,,,,,,2.884705,3.097916,2.679769,4.236923,2.060643,,,,,,O,20,646,0.0
O,"Administração pública, defesa e seguridade social",30 a 49,709,27073,27065,12628,14437,10863,16202,26864.07,12565.55,14298.52,10762.5,16101.57,1169143.139,602869.847,566273.292,668258.485,500884.654,3.043406,3.355104,2.769485,4.342055,2.175372,3347.74617604051,3690.61470571401,3046.43305740734,4776.26005539176,2392.90881381323,O,30,709,27073.0
O,"Administração pública, defesa e seguridade social",50 a 99,929,66453,66450,32304,34146,26162,40288,66135.22,32087.6,34047.62,26079.3,40055.92,3019810.015,1581259.124,1438550.891,1756086.35,1263723.665,3.193087,3.446115,2.954625,4.70884,2.206223,3512.39593785162,3790.72654953219,3250.08798988457,5179.72358861685,2426.84508787484,O,50,929,66453.0
O,"Administração pública, defesa e seguridade social",100 a 249,1949,342488,342475,150416,192059,133660,208815,345487.16,150428.09,195059.07,136224.95,209262.21,14644744.634,6884396.401,7760348.233,8319120.403,6325624.231,2.964243,3.200375,2.78214,4.270559,2.113862,3260.66768443725,3520.41266975521,3060.3543022989,4697.61478122993,2325.24773253466,O,100,1949,342488.0
O,"Administração pública, defesa e seguridade social",250 a 499,2066,733467,733462,293734,439728,279078,454384,738317.32,292950.8,445366.52,284484.34,453832.98,30360922.093,13280981.497,17079940.596,18064633.257,12296288.836,2.875649,3.170293,2.681839,4.440529,1.894707,3163.21381383195,3487.32265386438,2950.02323997702,4884.58230641231,2084.1772495247,O,250,2066,733467.0
O,"Administração pública, defesa e seguridade social",500 ou mais,3025,6555717,6555716,2842839,3712877,3111634,3444082,6496429.99,2813583.52,3682846.47,3111889.76,3384540.23,423446135.166,212508517.263,210937617.903,280975089.272,142471045.894,4.558137,5.281782,4.005294,6.314044,2.943682,5013.95068957771,5809.96046644131,4405.82325114494,6945.44796649174,3238.05021594185,O,500,3025,6555717.0
P,Educação,0 a 4,152403,166165,35355,10430,24925,9054,26301,45080.56,13063.59,32016.97,13050.74,32029.82,853706.676,261870.476,591836.2,294403.157,559303.519,1.324291,1.401806,1.292663,1.577507,1.221116,1456.7197991261,1541.98675626155,1421.92910629774,1735.2576706231,1343.22789248846,P,0,152403,166165.0
P,Educação,5 a 9,19946,133750,97023,31400,65623,26959,70064,96996.96,31061.4,65935.56,28139.96,68857,1784054.574,617657.655,1166396.919,573466.43,1210588.144,1.286216,1.390563,1.23706,1.42511,1.229454,1414.8378179148,1529.61963426286,1360.76557055217,1567.62135794409,1352.39939182766,P,5,19946,133750.0
P,Educação,10 a 19,15555,210480,180276,50914,129362,65786,114490,178597.42,49873.28,128724.14,66972.94,111624.48,3538314.399,1041735.31,2496579.089,1487842.542,2050471.857,1.385432,1.460674,1.35628,1.553537,1.284572,1523.97515424527,1606.7418341969,1491.90777508937,1708.89058039997,1413.02879426283,P,10,15555,210480.0
P,Educação,20 a 29,6106,146012,135767,34127,101640,66664,69103,135453.28,33843.29,101609.99,67854.48,67598.8,2918400.748,728981.959,2189418.789,1641147.341,1277253.407,1.506674,1.506289,1.506803,1.691348,1.321302,1657.34166962047,1656.91737734991,1657.48298885845,1860.48295048236,1453.4320443103,P,20,6106,146012.0
P,Educação,30 a 49,5397,203927,194437,53555,140882,109796,84641,194663.76,53367.77,141295.99,111888.36,82775.4,4723626.087,1255578.75,3468047.337,3049892.269,1673733.818,1.696893,1.645238,1.716403,1.906178,1.413999,1866.58190947382,1809.76234849668,1888.04276807093,2096.79628529174,1555.39876860479,P,30,5397,203927.0
P,Educação,50 a 99,3254,216317,210320,62743,147577,124988,85332,210391.15,62888.66,147502.49,126891.69,83499.46,6011309.398,1771967.216,4239342.182,4212586.183,1798723.215,1.998046,1.970368,2.009847,2.321558,1.506415,2197.85107515582,2167.4045918857,2210.83213421842,2553.71404541936,1657.05651546452,P,50,3254,216317.0
P,Educação,100 a 249,1275,195253,192980,66013,126967,118815,74165,193117.67,66249.68,126867.99,120130.29,72987.38,7444451.244,2639132.199,4805319.045,5738212.811,1706238.433,2.695719,2.785745,2.648708,3.34032,1.634767,2965.29103573126,3064.31924129816,2913.5791190391,3674.35211770103,1798.24389135175,P,100,1275,195253.0
P,Educação,250 a 499,458,159043,158329,57157,101172,101362,56967,159017.19,57893.91,101123.28,102638.83,56378.36,7447727.541,2903415.203,4544312.338,6030706.351,1417021.19,3.275244,3.507036,3.142541,4.108852,1.757632,3602.76847137383,3857.73963099055,3456.79538419305,4519.73671697604,1933.39483447195,P,250,458,159043.0
P,Educação,500 ou mais,619,2002279,2001621,698397,1303224,1468532,533089,2024298.07,701788.81,1322509.26,1495687.15,528610.92,133554859.255,52981920.803,80572938.452,117663141.772,15891717.483,4.613698,5.279408,4.26044,5.501279,2.102319,5075.06817507516,5807.34875134521,4686.48389082851,6051.40647597224,2312.55117920117,P,500,619,2002279.0
Q,Saúde humana e serviços sociais,0 a 4,282255,491399,114163,12498,101665,15793,98370,115086.27,13266.96,101819.31,16628.93,98457.34,2255537.197,280534.688,1975002.509,439170.945,1816366.252,1.370536,1.478697,1.356443,1.846857,1.290088,1507.58957873682,1626.56640139228,1492.08701103039,2031.54264192677,1419.0966455429,Q,0,282255,491399.0
Q,Saúde humana e serviços sociais,5 a 9,40027,254962,144862,19705,125157,23549,121313,137766.65,18970.33,118796.32,22634.56,115132.09,2907713.506,433257.065,2474456.441,668117.189,2239596.317,1.475949,1.59711,1.456602,2.064166,1.360308,1623.54437516124,1756.82060029855,1602.26178011109,2270.58223897778,1496.33902910327,Q,5,40027,254962.0
