setor,id_firma,faixa_pessoal,numero_firmas_representadas,pessoal_ocupado_firma,market_share_domestico,preco_relativo,qualidade_media_ponderada,pessoal_ocupado_medio_por_firma,peso_variedade,tipo_agente,qualidade,qualidade_efetiva_coorte,qualidade_por_firma
I,I_C000010,coorte de 10000 firmas,10000,169463,0.03375097416222049,1.0,4.342030549850849,16.9463,10000,coorte_firmas,0.18371438202334756,0.9912897966381602,0.9873216644275247
I,I_C000011,coorte de 10000 firmas,10000,165700,0.03300151902586367,1.0,4.140681097891085,16.57,10000,coorte_firmas,0.18166320217882231,0.9802207709899784,0.9762969480795735
I,I_C000012,coorte de 10000 firmas,10000,172461,0.03434806863439634,1.0,5.437480185190853,17.2461,10000,coorte_firmas,0.18533231945453105,1.0000843707058833,0.9960810338227541
I,I_C000013,coorte de 10000 firmas,10000,178536,0.03555799155583341,1.0,5.518047723670277,17.8536,10000,coorte_firmas,0.1885682676269616,1.017513871302644,1.0134407641434886
I,I_C000014,coorte de 10000 firmas,10000,167065,0.033273378250186565,1.0,4.51906702059742,16.7065,10000,coorte_firmas,0.18240991817932095,0.9842690795229004,0.9803290512368905
I,I_C000015,coorte de 10000 firmas,10000,158079,0.031483688147794224,1.0,3.262692856991098,15.8079,10000,coorte_firmas,0.17743643410470755,0.9573893876159807,0.9535569587137529
I,I_C000016,coorte de 10000 firmas,10000,168661,0.033591244420164104,1.0,4.958002594928727,16.8661,10000,coorte_firmas,0.18327914344017462,0.9889706228749103,0.9850117743148715
I,I_C000017,coorte de 10000 firmas,10000,182011,0.036250087383322104,1.0,6.462169705674429,18.2011,10000,coorte_firmas,0.19039455712630576,1.027427019727084,1.023314230243239
I,I_C000018,coorte de 10000 firmas,10000,166683,0.03319729750022954,1.0,4.169897729177971,16.6683,10000,coorte_firmas,0.18220125548477853,0.9831264517446602,0.9791909973966721
I,I_C000019,coorte de 10000 firmas,10000,223001,0.04441383068368512,1.0,12.140967890188985,22.3001,10000,coorte_firmas,0.2107458912616925,1.1375058844267554,1.1329524493413854
I,I_C000020,coorte de 10000 firmas,10000,171947,0.03424569820120809,1.0,4.197920319760973,17.1947,10000,coorte_firmas,0.18505593262905162,0.9985184871140151,0.9945214184615688
I,I_C000021,coorte de 10000 firmas,10000,170351,0.03392783203123055,1.0,6.0130163441582765,17.0351,10000,coorte_firmas,0.18419509231038309,0.9939657755419002,0.989986931389995
I,I_C000022,coorte de 10000 firmas,10000,172681,0.034391884773115056,1.0,5.500925661413634,17.2681,10000,coorte_firmas,0.18545049143400794,1.0007081547528325,0.9967023208626954
I,I_C000023,coorte de 10000 firmas,10000,174029,0.0346603582049006,1.0,6.207046100789345,17.4029,10000,coorte_firmas,0.18617292554209003,1.004648382069845,1.000626775453118
I,I_C000024,coorte de 10000 firmas,10000,172497,0.03435523854800486,1.0,6.119580765202813,17.2497,10000,coorte_firmas,0.1853516618431161,1.0001969795600465,0.9961931919037701
I,I_C000025,coorte de 10000 firmas,10000,163105,0.032484687753249815,1.0,3.635703588100476,16.3105,10000,coorte_firmas,0.1802350902384156,0.9724946374077474,0.968601742203484
I,I_C000026,coorte de 10000 firmas,10000,153969,0.030665123010821988,1.0,2.915513357467362,15.3969,10000,coorte_firmas,0.17511459965069157,0.9448524503609956,0.941070206807909
I,I_C000027,coorte de 10000 firmas,10000,196399,0.039115662855525646,1.0,9.044808531943595,19.6399,10000,coorte_firmas,0.1977768005998824,1.0673753082615727,1.0631026058127895
I,I_C000028,coorte de 10000 firmas,10000,194319,0.03870140118036695,1.0,8.171417755292103,19.4319,10000,coorte_firmas,0.19672671699687094,1.0616394384463763,1.057389696679572
I,I_C000029,coorte de 7928 firmas,7928,137497,0.027384489206392137,1.0,6.211211923965728,17.34321392532795,7928,coorte_firmas,0.1654825948744826,0.8929894404794833,0.9989011965695812
J,J_C000001,coorte de 10000 firmas,10000,73053,0.051984102981936176,1.0,17.52266352228906,7.3053,10000,coorte_firmas,0.22800022583746749,1.0513508583453046,1.0041864430063692
J,J_C000002,coorte de 10000 firmas,10000,74868,0.05327564675032644,1.0,15.404635323915496,7.4868,10000,coorte_firmas,0.2308151787693488,1.0642196725904365,1.0164779522584444
J,J_C000003,coorte de 10000 firmas,10000,62627,0.04456502015591032,1.0,9.857007415393236,6.2627,10000,coorte_firmas,0.21110428739348314,0.9731080131930842,0.929453632603031
J,J_C000004,coorte de 10000 firmas,10000,68988,0.04909147189735963,1.0,10.810412973434493,6.8988,10000,coorte_firmas,0.22156595383171943,1.0213455395746016,0.9755271861194278
J,J_C000005,coorte de 10000 firmas,10000,74919,0.053311938062826664,1.0,17.981108083082827,7.4919,10000,coorte_firmas,0.23089378090980853,1.0647264776159888,1.0169620216172768
J,J_C000006,coorte de 10000 firmas,10000,78962,0.05618891407142273,1.0,16.642115608713766,7.8962,10000,coorte_firmas,0.2370420090857794,1.0929735898560424,1.0439419464828776
J,J_C000007,coorte de 10000 firmas,10000,68461,0.048716461668190665,1.0,14.649311862529055,6.8461,10000,coorte_firmas,0.2207180592253173,1.0176454435030315,0.9719930792288509
J,J_C000008,coorte de 10000 firmas,10000,74889,0.053290590231944185,1.0,14.320578221600897,7.4889,10000,coorte_firmas,0.23084754759785556,1.0642907826697703,1.016545872284439
J,J_C000009,coorte de 10000 firmas,10000,70478,0.05015174749785632,1.0,12.680379843105051,7.0478,10000,coorte_firmas,0.22394585840746492,1.0324135401104653,0.9860986675626386
J,J_C000010,coorte de 10000 firmas,10000,63980,0.04552780732871034,1.0,13.046891585481726,6.398,10000,coorte_firmas,0.21337246150501787,0.9837243285967223,0.9395936918595498
J,J_C000011,coorte de 10000 firmas,10000,57907,0.04120629476373288,1.0,7.904499411117864,5.7907,10000,coorte_firmas,0.20299333674712794,0.935645061037039,0.893671297551433
J,J_C000012,coorte de 10000 firmas,10000,66222,0.04712320188999463,1.0,13.249381386783167,6.6222,10000,coorte_firmas,0.21707879189362242,1.000770506529316,0.9558751650224915
J,J_C000013,coorte de 10000 firmas,10000,70800,0.05038088088266165,1.0,14.724134396361176,7.08,10000,coorte_firmas,0.2244568575086572,1.034865161984914,0.9884403077773757
J,J_C000014,coorte de 10000 firmas,10000,67043,0.047707420861811935,1.0,11.97638612455434,6.7043,10000,coorte_firmas,0.2184202849137688,1.0068987316280564,0.9617284731878855
J,J_C000015,coorte de 10000 firmas,10000,83328,0.05929573505918686,1.0,18.068874011954712,8.3328,10000,coorte_firmas,0.24350715607387569,1.1228673473896174,1.0724946468563585
J,J_C000016,coorte de 10000 firmas,10000,100065,0.07120568990852455,1.0,20.41222529960421,10.0065,10000,coorte_firmas,0.26684394298639147,1.2305699870262734,1.1753656625031716
J,J_C000017,coorte de 10000 firmas,10000,77218,0.05494789350278767,1.0,14.983100521799726,7.7218,10000,coorte_firmas,0.23440967024162562,1.0807564583986529,1.0322728850229896
J,J_C000018,coorte de 10000 firmas,10000,79860,0.05682792580917174,1.0,16.577571675681675,7.986,10000,coorte_firmas,0.23838608560310676,1.0991527111224384,1.0498438675743516
J,J_C000019,coorte de 10000 firmas,10000,81273,0.057833408643736726,1.0,16.25568861954809,8.1273,10000,coorte_firmas,0.24048577638550003,1.108814330198599,1.0590720589214742
J,J_C000020,coorte de 2306 firmas,2306,10354,0.007367848031907891,1.0,4.030414098741981,4.490026019080659,2306,coorte_firmas,0.08583616971829469,0.39560430977849714,0.7868610409050417
L,L_C000001,coorte de 10000 firmas,10000,31220,0.0621495131754181,1.0,3.393866833555175,3.122,10000,coorte_firmas,0.24929804085756088,1.0349170623801598,1.0113040896870817
L,L_C000002,coorte de 10000 firmas,10000,30168,0.060055301520692286,1.0,2.6098777602908476,3.0168,10000,coorte_firmas,0.24506183203569723,1.017268456317486,0.9940581594215104
L,L_C000003,coorte de 10000 firmas,10000,31236,0.062181364303246625,1.0,3.4300084246241482,3.1236,10000,coorte_firmas,0.2493619142997716,1.0351859768212082,1.0115668684969923
L,L_C000004,coorte de 10000 firmas,10000,30567,0.060849589020916243,1.0,2.4653840606570343,3.0567,10000,coorte_firmas,0.2466770946417933,1.0239629400551407,1.0005998998452923
L,L_C000005,coorte de 10000 firmas,10000,29287,0.05830149879463389,1.0,2.191582795049984,2.9287,10000,coorte_firmas,0.24145703301961177,1.0022864909474443,0.9794180269886491
L,L_C000006,coorte de 10000 firmas,10000,31524,0.06275468460416016,1.0,3.097242956145852,3.1524,10000,coorte_firmas,0.2505088513489297,1.0398975894723614,1.0161709796053493
L,L_C000007,coorte de 10000 firmas,10000,31917,0.06353702793144841,1.0,3.4378017725729966,3.1917,10000,coorte_firmas,0.25206552309161284,1.046409541030826,1.022534352557935
L,L_C000008,coorte de 10000 firmas,10000,29468,0.058661814678194125,1.0,2.135623197105709,2.9468,10000,coorte_firmas,0.2422020121266422,1.0053757433389994,0.9824367940872126
L,L_C000009,coorte de 10000 firmas,10000,31377,0.062462052367235545,1.0,2.518184271843818,3.1377,10000,coorte_firmas,0.2499240932107898,1.0374427168436036,1.0137721180739585
L,L_C000010,coorte de 10000 firmas,10000,31098,0.06190664832572556,1.0,2.8726809883396722,3.1098,10000,coorte_firmas,0.24881046667237605,1.0328367936496545,1.0092712849810024
L,L_C000011,coorte de 10000 firmas,10000,29313,0.05835325687735524,1.0,1.9846874335250493,2.9313,10000,coorte_firmas,0.24156418790324705,1.0027234321600238,0.9798449988217524
L,L_C000012,coorte de 10000 firmas,10000,29461,0.05864787980976914,1.0,2.37962287912495,2.9461,10000,coorte_firmas,0.24217324338119836,1.0052703941309702,0.982333848557761
L,L_C000013,coorte de 10000 firmas,10000,29163,0.058054652553962784,1.0,2.2067368145789046,2.9163,10000,coorte_firmas,0.2409453310482749,1.0001642173125742,0.9773441757744822
L,L_C000014,coorte de 10000 firmas,10000,30257,0.06023247341923848,1.0,2.5271838396349477,3.0257,10000,coorte_firmas,0.24542304989393005,1.0187625290383022,0.9955181429388139
L,L_C000015,coorte de 10000 firmas,10000,29425,0.05857621477215495,1.0,2.4211099642889424,2.9425,10000,coorte_firmas,0.24202523581675311,1.0046570399749546,0.9817344888709291
L,L_C000016,coorte de 10000 firmas,10000,32641,0.06497829146568937,1.0,4.759752449583325,3.2641,10000,coorte_firmas,0.2549083981858765,1.0583045703021425,1.0341579813358428
L,L_C000017,coorte de 4446 firmas,4446,14215,0.028297736380159137,1.0,4.90114714167328,3.1972559604138553,4446,coorte_firmas,0.16821931036643545,0.6984109689174832,1.0235346247463761
M,M_C000001,coorte de 10000 firmas,10000,69368,0.020724088316977453,1.0,5.521268225161256,6.9368,10000,coorte_firmas,0.14395863404803982,1.006841158391178,0.9907670790287515
M,M_C000002,coorte de 10000 firmas,10000,72771,0.021740754107293942,1.0,6.872624105623109,7.2771,10000,coorte_firmas,0.14744746219346722,1.0312661119122866,1.0148020915566358
M,M_C000003,coorte de 10000 firmas,10000,66684,0.019922227905220337,1.0,5.609422670155414,6.6684,10000,coorte_firmas,0.14114612252988154,0.9871781304648563,0.9714179686144017
