simulacao,seed,periodo,firma,setor,regime,preco_capital,demanda_esperada,expectativa_vendas_real,producao_desejada_real,producao_planejada_real,producao_real,vendas_real,vendas_nominal,demanda_recebida_real,demanda_nao_atendida_real,producao_nao_vendida_real,excedente_nao_estocavel_real,estoque,variacao_estoque_real,capital_real,capital_desejado,gap_capital,investimento_liquido,investimento_reposicao,investimento_bruto,preco_firma,preco_transacao,market_share_desejado,market_share_realizado,qualidade_base,desvio_qualidade,qualidade,eob_realizado,r_obs_bruto,r_obs,r_ajustado,demanda_trabalho,fator_clima,producao_normal_real,capacidade_estrutural_real,capacidade_efetiva_real,taxa_utilizacao_capacidade,valor_producao_nominal,consumo_intermediario_nominal,valor_adicionado_nominal
1,42,0,A_001,"A - Agricultura, pecuária, produção florestal, pesca e aquicultura",leilao,1.0,53050.73333333333,53231.944106740324,53050.73333333333,53050.73333333333,53050.73333333333,53231.944106740324,53231.944106740324,53231.944106740324,0.0,0.0,0.0,5010.128436687027,0.0,58374.64695600357,58374.64695600357,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,,25382.8,0.4348257561048854,0.3848257561048854,0.0,0.0,1.0,53050.73333333333,66313.41666666666,66313.41666666666,0.8,,,
1,42,0,A_002,"A - Agricultura, pecuária, produção florestal, pesca e aquicultura",leilao,1.0,53050.73333333333,53231.944106740324,53050.73333333333,53050.73333333333,53050.73333333333,53231.944106740324,53231.944106740324,53231.944106740324,0.0,0.0,0.0,5010.128436687027,0.0,58374.64695600357,58374.64695600357,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,,25382.8,0.4348257561048854,0.3848257561048854,0.0,0.0,1.0,53050.73333333333,66313.41666666666,66313.41666666666,0.8,,,
1,42,0,A_003,"A - Agricultura, pecuária, produção florestal, pesca e aquicultura",leilao,1.0,53050.73333333333,53231.944106740324,53050.73333333333,53050.73333333333,53050.73333333333,53231.944106740324,53231.944106740324,53231.944106740324,0.0,0.0,0.0,5010.128436687027,0.0,58374.64695600357,58374.64695600357,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,,25382.8,0.4348257561048854,0.3848257561048854,0.0,0.0,1.0,53050.73333333333,66313.41666666666,66313.41666666666,0.8,,,
1,42,0,A_004,"A - Agricultura, pecuária, produção florestal, pesca e aquicultura",leilao,1.0,53050.73333333333,53231.944106740324,53050.73333333333,53050.73333333333,53050.73333333333,53231.944106740324,53231.944106740324,53231.944106740324,0.0,0.0,0.0,5010.128436687027,0.0,58374.64695600357,58374.64695600357,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,,25382.8,0.4348257561048854,0.3848257561048854,0.0,0.0,1.0,53050.73333333333,66313.41666666666,66313.41666666666,0.8,,,
1,42,0,A_005,"A - Agricultura, pecuária, produção florestal, pesca e aquicultura",leilao,1.0,53050.73333333333,53231.944106740324,53050.73333333333,53050.73333333333,53050.73333333333,53231.944106740324,53231.944106740324,53231.944106740324,0.0,0.0,0.0,5010.128436687027,0.0,58374.64695600357,58374.64695600357,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,,25382.8,0.4348257561048854,0.3848257561048854,0.0,0.0,1.0,53050.73333333333,66313.41666666666,66313.41666666666,0.8,,,
1,42,0,A_006,"A - Agricultura, pecuária, produção florestal, pesca e aquicultura",leilao,1.0,53050.73333333333,53231.944106740324,53050.73333333333,53050.73333333333,53050.73333333333,53231.944106740324,53231.944106740324,53231.944106740324,0.0,0.0,0.0,5010.128436687027,0.0,58374.64695600357,58374.64695600357,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,,25382.8,0.4348257561048854,0.3848257561048854,0.0,0.0,1.0,53050.73333333333,66313.41666666666,66313.41666666666,0.8,,,
1,42,0,A_007,"A - Agricultura, pecuária, produção florestal, pesca e aquicultura",leilao,1.0,53050.73333333333,53231.944106740324,53050.73333333333,53050.73333333333,53050.73333333333,53231.944106740324,53231.944106740324,53231.944106740324,0.0,0.0,0.0,5010.128436687027,0.0,58374.64695600357,58374.64695600357,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,,25382.8,0.4348257561048854,0.3848257561048854,0.0,0.0,1.0,53050.73333333333,66313.41666666666,66313.41666666666,0.8,,,
1,42,0,A_008,"A - Agricultura, pecuária, produção florestal, pesca e aquicultura",leilao,1.0,53050.73333333333,53231.944106740324,53050.73333333333,53050.73333333333,53050.73333333333,53231.944106740324,53231.944106740324,53231.944106740324,0.0,0.0,0.0,5010.128436687027,0.0,58374.64695600357,58374.64695600357,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,,25382.8,0.4348257561048854,0.3848257561048854,0.0,0.0,1.0,53050.73333333333,66313.41666666666,66313.41666666666,0.8,,,
1,42,0,A_009,"A - Agricultura, pecuária, produção florestal, pesca e aquicultura",leilao,1.0,53050.73333333333,53231.944106740324,53050.73333333333,53050.73333333333,53050.73333333333,53231.944106740324,53231.944106740324,53231.944106740324,0.0,0.0,0.0,5010.128436687027,0.0,58374.64695600357,58374.64695600357,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,,25382.8,0.4348257561048854,0.3848257561048854,0.0,0.0,1.0,53050.73333333333,66313.41666666666,66313.41666666666,0.8,,,
1,42,0,A_010,"A - Agricultura, pecuária, produção florestal, pesca e aquicultura",leilao,1.0,53050.73333333333,53231.944106740324,53050.73333333333,53050.73333333333,53050.73333333333,53231.944106740324,53231.944106740324,53231.944106740324,0.0,0.0,0.0,5010.128436687027,0.0,58374.64695600357,58374.64695600357,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,,25382.8,0.4348257561048854,0.3848257561048854,0.0,0.0,1.0,53050.73333333333,66313.41666666666,66313.41666666666,0.8,,,
